Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,娱乐圈受黑社会控制？ 明星挨打事件回顾(图),10,0,0,0,cleaneval
1,html body text div div a  ,邮箱,61,1,0,0,cleaneval
2,html body text div div  ,|,62,1,1,0,cleaneval
3,html body text div div a  ,相册,64,1,1,0,cleaneval
4,html body text div div  ,|,65,1,1,0,cleaneval
5,html body text div div a  ,助手,67,1,1,0,cleaneval
6,html body text div div  ,|,68,1,1,0,cleaneval
7,html body text div div a  ,雅虎通,70,1,1,0,cleaneval
8,html body text div div  ,|,71,1,1,0,cleaneval
9,html body text div div a  ,社区,73,1,1,0,cleaneval
10,html body text div div div a  ,首页,80,1,1,0,cleaneval
11,html body text div div div a  ,资讯,83,1,1,0,cleaneval
12,html body text div div div a  ,知识,86,1,1,0,cleaneval
13,html body text div div div a  ,音乐,89,1,1,0,cleaneval
14,html body text div div div a  ,图片,92,1,1,0,cleaneval
15,html body text div div div a  ,网址,95,1,1,0,cleaneval
16,html body text div div div a  ,更多...,98,0,1,0,cleaneval
17,html body text div div div form span select option  ,网页,115,1,0,0,cleaneval
18,html body text div div div form span select option  ,资讯,118,1,1,0,cleaneval
19,html body text div div div form span select option  ,音乐,121,1,1,0,cleaneval
20,html body text div div div form span select option  ,知识,124,1,1,0,cleaneval
21,html body text div div div form span select option  ,图片,127,0,1,0,cleaneval
22,html body text div div a  ,资讯首页,144,1,0,0,cleaneval
23,html body text div div  ,|,145,1,1,0,cleaneval
24,html body text div div a  ,财经,147,1,1,0,cleaneval
25,html body text div div  ,|,148,1,1,0,cleaneval
26,html body text div div a  ,体育,150,1,1,0,cleaneval
27,html body text div div  ,|,151,1,1,0,cleaneval
28,html body text div div a  ,娱乐,153,1,1,0,cleaneval
29,html body text div div  ,|,154,1,1,0,cleaneval
30,html body text div div a  ,汽车,156,1,1,0,cleaneval
31,html body text div div  ,|,157,1,1,0,cleaneval
32,html body text div div a  ,房产,159,1,1,0,cleaneval
33,html body text div div  ,|,160,1,1,0,cleaneval
34,html body text div div a  ,数码,162,1,1,0,cleaneval
35,html body text div div  ,|,163,1,1,0,cleaneval
36,html body text div div a  ,访谈,165,1,1,0,cleaneval
37,html body text div div  ,|,166,1,1,0,cleaneval
38,html body text div div a  ,社区,168,1,1,0,cleaneval
39,html body text div div  ,|,169,1,1,0,cleaneval
