tag,content,label,depth,domain
html body div header nav div div ul li a  ,登入,0,10,newdata
html body div main div div section div div div div h1 span  ,《 關於活動 》,1,13,newdata
html body div main div div section div div div div p span  ,疫情過後，學校經營就像經歷一場大風吹，我們看到愈來愈多學校改變經營型態、教學模式。而學生學習過程、與家長互動的方式也與過去不再相同。,1,13,newdata
html body div main div div section div div div div p span  ,面對改變的擔憂，我們也能感同身受，但危機就是轉機，如何把握此次機會，清楚溝通學校價值，將是您站穩市場的關鍵！,1,13,newdata
html body div main div div section div div div div p span  ,此次課程從「數位結合實體教學的複合教學經營法」到「如何打造高含金量的全美語班」兩個課程主題，邀請多位經營管理者及專業顧問，網羅多項經營成功案例及經營技巧，協助您迅速掌握市場脈動、經營關鍵，幫助您掌握自己學校的特色與最適合您的經營策略，讓學校更加穩固，招生沒煩惱！,1,13,newdata
html body div main div div section div h1  ,《 課程核心特色 》,1,9,newdata
html body div main div div section div h1 strong  ,《 精彩課程 》,1,10,newdata
html body div main div div section div h3  ,請,1,9,newdata
html body div main div div section div h3 strong  ,「點擊」,1,10,newdata
html body div main div div section div h3  ,以下課程看完整介紹 （含課程綱要、講師介紹...等）,1,9,newdata
html body div main div div section div div a div h3  ,課程二：為學校打造高含金量的全美語課！,1,12,newdata
html body div main div div section div div a div h4  ,開課時間：11/08 - 12/31,1,12,newdata
html body div main div div section div div a div div div p  ,CAVES CONNECT,1,14,newdata
html body div main div div section div div a div div div span  ,%,1,14,newdata
html body div main div div section div div a div div div  ,COMPLETE,1,13,newdata
html body div main div div section div h1 strong  ,《 課程一 》,1,10,newdata
html body div main div div section div h2 strong  ,線上還是實體？結合趨勢再造學校新價值！,1,10,newdata
html body div main div div section div h4 span  ,〔課程總時長：5-6 小時〕,1,10,newdata
html body div main div div section div h5 strong  ,單元一：前進未來教室，洞察經營新趨勢 / 連育仁,1,10,newdata
html body div main div div section div p span  ,1.	聚焦新趨勢：您知道什麼是複合教學嗎？,1,10,newdata
html body div main div div section div p  ,2. 當兒童美語遇上複合教學,1,9,newdata
html body div main div div section div p span  ,3.	複合教學後的改變與商機,1,10,newdata
html body div main div div section div p span  ,4.	複合教學下的教學要點,1,10,newdata
html body div main div div section div p span  ,5.	新型態教學環境體驗,1,10,newdata
html body div main div div section div h5 strong  ,單元二：產業面面觀 / 陳郁菁,1,10,newdata
html body div main div div section div p span  ,1. 兒美補教產業新格局,1,10,newdata
html body div main div div section div p span  ,2.	擁抱複合教學後的新面貌,1,10,newdata
html body div main div div section div p span  ,3.	你該知道的經營機會與挑戰,1,10,newdata
html body div main div div section div p span  ,4.	複合教學團隊培養方法,1,10,newdata
html body div main div div section div h5 strong  ,單元三：虛實整合展現學生學習成效 / 何浩怡、陳儷文、蔡宜臻,1,10,newdata
html body div main div div section div p span  ,1.	家長關心的學習成效如何展現？把握你傳遞價值的好機會！,1,10,newdata
html body div main div div section div p span  ,2.	找到最適合學校的「課程教學」模式，讓家長看到專業度與前瞻力！,1,10,newdata
html body div main div div section div p span  ,3.	學生學習落後怎麼辦？結合數位，「補救教學」更好發揮！,1,10,newdata
html body div main div div section div p span  ,4.	你試過複合式的「成果發表」嗎？讓新舊家長看見你的辦學力！,1,10,newdata
html body div main div div section div p span  ,5.	這樣做反而讓孩子有更好的舞台！進擊的「延伸教學」擴充術,1,10,newdata
html body div main div div section div p span  ,6.	「家說會」還可以這樣辦？！善用數位行銷打動家長的心！,1,10,newdata
html body div main div div section div h5 strong  ,單元四：教學新常態下的課程規劃 / 黃如吟,1,10,newdata
