Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,谢谢您访问〖关注中国中心〗,6,0,0,0,cleaneval
1,html body text center table tr td table tr td b a font  ,首页,42,1,0,0,cleaneval
2,html body text center table tr td table tr td a p font  ,关注中国中心（CCC）,50,1,1,0,cleaneval
3,html body text center table tr td table tr td a p font  ,中国民权运动,58,1,1,0,cleaneval
4,html body text center table tr td table tr td a p font  ,公民社会,66,1,1,0,cleaneval
5,html body text center table tr td table tr td a p font  ,中国良心犯,74,1,1,0,cleaneval
6,html body text center table tr td table tr td a p font  ,中国民主政党联盟,82,1,1,0,cleaneval
7,html body text center table tr td table tr td a p font  ,难属来信,90,1,1,0,cleaneval
8,html body text center table tr td table tr td a p font  ,公民读本与先贤论著,98,1,1,0,cleaneval
9,html body text center table tr td table tr td a p font  ,推动中国的宪政运动,106,1,1,0,cleaneval
10,html body text center table tr td table tr td a p font  ,真相,114,1,1,0,cleaneval
11,html body text center table tr td table tr td a p font  ,时政研讨,122,1,1,0,cleaneval
12,html body text center table tr td table tr td a p font  ,人物,130,1,1,0,cleaneval
13,html body text center table tr td table tr td a p font  ,个人专栏,138,1,1,0,cleaneval
14,html body text center table tr td table tr td b a font  ,English,144,0,1,0,cleaneval
15,html body text center table tr td table tr td b font  ,茉莉：我是怎样卷入八九民运的,155,0,0,1,cleaneval
16,html body text center table tr td table tr td div font  ,"作者： size=""20"" 来源： size=""20"" 发布日期： 7/5/2005 9:23:57 PM",167,0,0,0,cleaneval
17,html body text center table tr td table tr td font p  ,我是怎样卷入八九民运的,188,1,0,1,cleaneval
18,html body text center table tr td table tr td font p  ,茉莉,192,1,1,1,cleaneval
19,html body text center table tr td table tr td font p  ,【看中国2005年07月03日报道】一九八九年四月，我在湖南张家界开一个全省教学研究,196,1,1,1,cleaneval
20,html body text center table tr td table tr td font p  ,会议。按照惯例，会议安排了一天时间，让与会者去风景点游玩观赏。那一天正好是四,198,1,1,1,cleaneval
21,html body text center table tr td table tr td font p  ,月十五日，后来我们才知道，这是在中国历史上刻下深深痕迹的一天。,200,1,1,1,cleaneval
22,html body text center table tr td table tr td font p  ,张家界的春天，美得让人眩目。长期过著从家门到校门的机械生活，一下子置身于翠绿,204,1,1,1,cleaneval
23,html body text center table tr td table tr td font p  ,欲滴的森林，看不完的奇山异峰，山涧涓流，名花异草，－－我简直要玩疯了。傍晚，,206,1,1,1,cleaneval
24,html body text center table tr td table tr td font p  ,当我山花插满头，手里抱著一大把青青竹笋，乐不思蜀地回到招待所时，一位同事告诉,208,1,1,1,cleaneval
25,html body text center table tr td table tr td font p  ,我胡耀邦去世的消息，像突然被泼了一瓢冷水，我顿时醒过来。,210,1,1,1,cleaneval
26,html body text center table tr td table tr td font p  ,像我这样自小就跟随父母下乡回老家，在闭塞农村长大的人，对遥远京城的政治，长期,214,1,1,1,cleaneval
27,html body text center table tr td table tr td font p  ,以来，持一种不甚关心的态度。但胡耀邦先生其人其事，我还是有所耳闻的。他突然辞,216,1,1,1,cleaneval
28,html body text center table tr td table tr td font p  ,去总书记职务又突然去世的命运，除了令我感到悲哀之外，更使我对中国的前景产生了,218,1,1,1,cleaneval
29,html body text center table tr td table tr td font p  ,一种黯淡之感。,220,1,1,1,cleaneval
30,html body text center table tr td table tr td font p  ,张家界会议之后我路过长沙，听说有学生和市民游行示威，但我没有亲眼见到。二十四,222,1,1,1,cleaneval
31,html body text center table tr td table tr td font p  ,日早上去乘火车时，看到长沙街头有玻璃散落狼藉状况，据说是发生了抢砸商店事件。,224,1,1,1,cleaneval
32,html body text center table tr td table tr td font p  ,后来我作为囚徒被警车押送到长沙服刑，在监狱里认识了一位可爱的胖姑娘，她叫蒋剑,230,1,1,1,cleaneval
33,html body text center table tr td table tr td font p  ,华，她的「罪行」和我那天看到的情形有关：在4月23日长沙一些商店被砸之后，她路,232,1,1,1,cleaneval
34,html body text center table tr td table tr td font p  ,过现场，看到地上散落著一些毛衣之类的商品。这位胖姑娘不动脑子，就捡起一包毛衣,234,1,1,1,cleaneval
35,html body text center table tr td table tr td font p  ,，笑呵呵地往家走。没想到被便衣警察跟踪，她很快就被以「反革命抢劫罪」「从严从,236,1,1,1,cleaneval
36,html body text center table tr td table tr td font p  ,重」地判取有期徒刑8年。这是后话了。,238,1,1,1,cleaneval
37,html body text center table tr td table tr td font p  ,当时我回到邵阳，继续过我教书、带孩子的平静生活。五月十三日北京学生绝食，每天,242,1,1,1,cleaneval
38,html body text center table tr td table tr td font p  ,听到广播报导学生绝食多少多少天，我的心就一阵阵揪紧。当时，湖南邵阳师专的学生,244,1,1,1,cleaneval
39,html body text center table tr td table tr td font p  ,也上街游行，在本市的广场上展开声援活动。学校领导严令教师不能参与学生运动，我,246,1,1,1,cleaneval
40,html body text center table tr td table tr td font p  ,也很听话，每天夹著课本去上课，在空荡荡的教室里晃一下，应付了差事，马上回程料,248,1,1,1,cleaneval
41,html body text center table tr td table tr td font p  ,理家务。只有一次，我不顾禁令，跟著本校游行的学生上了街，才走到市中心，记起上,250,1,1,1,cleaneval
42,html body text center table tr td table tr td font p  ,小学的孩子要回家吃中饭，就半途退回，买菜做饭去了。,252,1,1,1,cleaneval
