Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,劳伦斯：一个无法定义的“洛克菲勒”-搜狐财经,6,0,0,0,cleaneval
1,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,搜狐首页,44,1,0,0,cleaneval
2,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,47,1,1,0,cleaneval
3,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,新闻,51,1,1,0,cleaneval
4,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,54,1,1,0,cleaneval
5,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,体育,58,1,1,0,cleaneval
6,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,61,1,1,0,cleaneval
7,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,娱乐,65,1,1,0,cleaneval
8,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,68,1,1,0,cleaneval
9,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,财经,72,1,1,0,cleaneval
10,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,75,1,1,0,cleaneval
11,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,IT,79,1,1,0,cleaneval
12,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,82,1,1,0,cleaneval
13,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,汽车,86,1,1,0,cleaneval
14,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,89,1,1,0,cleaneval
15,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,房产,93,1,1,0,cleaneval
16,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,96,1,1,0,cleaneval
17,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,女人,100,1,1,0,cleaneval
18,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,105,1,1,0,cleaneval
19,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,短信,109,1,1,0,cleaneval
20,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,112,1,1,0,cleaneval
21,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,彩信,116,1,1,0,cleaneval
22,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,119,1,1,0,cleaneval
23,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,校友录,123,1,1,0,cleaneval
24,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,126,1,1,0,cleaneval
25,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,邮件,130,1,1,0,cleaneval
26,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,133,1,1,0,cleaneval
27,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,搜索,137,1,1,0,cleaneval
28,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,140,1,1,0,cleaneval
29,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a  ,BBS,144,1,1,0,cleaneval
30,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td  ,-,147,1,1,0,cleaneval
31,html body text sohu_cms_include:caij_homepage_style center sohuheadercode sohu_cms_include:caij_article_head table tr td a font  ,搜狗,152,0,1,0,cleaneval
32,html body text sohu_cms_include:caij_homepage_style center table tr td sohushieldcode table tr td a  ,搜狐首页,210,1,0,0,cleaneval
33,html body text sohu_cms_include:caij_homepage_style center table tr td sohushieldcode table tr td  ,>,211,1,1,0,cleaneval
34,html body text sohu_cms_include:caij_homepage_style center table tr td sohushieldcode table tr td a  ,搜狐财经,213,1,1,0,cleaneval
35,html body text sohu_cms_include:caij_homepage_style center table tr td sohushieldcode table tr td  ,>,214,1,1,0,cleaneval
36,html body text sohu_cms_include:caij_homepage_style center table tr td sohushieldcode table tr td a  ,国际财经_搜狐财经,216,0,1,0,cleaneval
37,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td strong fltitle  ,劳伦斯：一个无法定义的“洛克菲勒”,251,0,0,0,cleaneval
38,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td font  ,BUSINESS.SOHU.COM,264,1,0,0,cleaneval
39,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td font  ,2004年7月16日08:19 [ 黄宇 ] 来源：[,267,1,1,0,cleaneval
40,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td font a font  ,国际金融报,270,1,1,0,cleaneval
41,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td font  ,],271,0,1,0,cleaneval
42,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,页面功能 【,282,1,0,0,cleaneval
43,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,我来说两句,284,1,1,0,cleaneval
44,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】【,285,1,1,0,cleaneval
45,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,我要“揪”错,287,1,1,0,cleaneval
46,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】【,288,1,1,0,cleaneval
47,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,推荐,290,1,1,0,cleaneval
48,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】【字体：,291,1,1,0,cleaneval
49,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,大,293,1,1,0,cleaneval
50,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,中,296,1,1,0,cleaneval
51,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,小,299,1,1,0,cleaneval
52,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】【,300,1,1,0,cleaneval
53,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,打印,302,1,1,0,cleaneval
54,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】 【,303,1,1,0,cleaneval
55,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td a  ,关闭,305,1,1,0,cleaneval
56,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td table tr td  ,】,306,0,1,0,cleaneval
57,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,他是一个影响卓著的巨型财团继承人、他是一个美国现代风险投资的开拓者……,324,1,0,1,cleaneval
58,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,洛克菲勒家族开创者老约翰·洛克菲勒的三孙子劳伦斯·洛克菲勒于7月10日早上寿终正寝，享年94岁。与他的祖父老约翰·洛克菲勒一样，劳伦斯·洛克菲勒也是一位亿万富翁、天然资源的保护管理论者以及美国风险资本领域的开创及领导人物。,327,1,1,1,cleaneval
59,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,据他的发言人透露，洛克菲勒死于肺部的纤维症。发言人还透露，洛克菲勒的健康状况在过去几个月每况愈下，但他上周三去位于洛克菲勒中心的办公室工作时，还和公司员工开玩笑说自己只干半天活。,332,1,1,1,cleaneval
60,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,70年前，劳伦斯·洛克菲勒在华尔街开始了自己职业生涯，他成为现代风险投资的开拓者，也把从洛克菲勒家族继承来的财富成功翻了数倍。在他坐上纽约证券交易所席位后的数十年中，他经常用他与生俱来的商业本能作出下一个重要决定。他不满足于单纯赚更多钱，而是希望能让金钱生产出具有长久意义的东西。,335,1,1,1,cleaneval
61,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,上世纪30年代后期，他资助一战飞行员埃迪·瑞肯贝克成立了东方航空公司，并在很多年担任这家航空公司的最大股东。通过个人及家族关系，洛克菲勒投资启动了数百个项目，从最初的航空、电子到后来扩展到计算机（英特尔和苹果）和生物科技。而他继承的土地，从怀俄明州到弗吉尼亚岛，多达数千英亩。,338,1,1,1,cleaneval
62,html body text sohu_cms_include:caij_homepage_style center table tr td table tr td p  ,劳伦斯不像他的哥哥纳尔逊那样热爱社交活动，后者曾经担任四任纽约州州长以及福特政府的副总统。和曾担任阿肯色州州长的弟弟温斯罗普相比，劳伦斯也显得更加保守和私密化。作为普林斯顿大学的哲学系毕业生，长期以来他一直纠结于一个问题，那就是怎么样能最有效和最令人满意地把自己的巨额财富运用到自己生长的土地。,341,1,1,1,cleaneval
