tag,content,label,depth,domain
html body div div nav div div ul li a  ,關於本院,0,10,newdata
html body div div nav div div ul li a  ,ABOUT,0,10,newdata
html body div div nav div div ul li div a  ,願景／使命,0,11,newdata
html body div div nav div div ul li div a  ,董監事,0,11,newdata
html body div div nav div div ul li div a  ,院長,0,11,newdata
html body div div nav div div ul li div a  ,副院長,0,11,newdata
html body div div nav div div ul li div a  ,組織架構,0,11,newdata
html body div div nav div div ul li a  ,服務專區,0,10,newdata
html body div div nav div div ul li a  ,SERVICE,0,10,newdata
html body div div nav div div ul li div a  ,文化金融,0,11,newdata
html body div div nav div div ul li div a  ,內容策進,0,11,newdata
html body div div nav div div ul li div a  ,策略研究,0,11,newdata
html body div div nav div div ul li div a  ,青年創業及啟動金貸款專區,0,11,newdata
html body div div nav div div ul li div a  ,加強文化創意產業升級轉型貸款專區,0,11,newdata
html body div div nav div div ul li div a  ,演藝團體紓困貸款專區,0,11,newdata
html body div div nav div div ul li div a  ,國際合作投資專案計畫,0,11,newdata
html body div div nav div div ul li div a  ,內容開發專案計畫：劇本開發支持,0,11,newdata
html body div div nav div div ul li div a  ,內容開發專案計畫：出版與影視媒合新制,0,11,newdata
html body div div nav div div ul li div a  ,TAICCA 文策報,0,11,newdata
html body div div nav div div ul li div a  ,TAICCA 誌 試刊號,0,11,newdata
html body div div nav div div ul li div a  ,CSR 文化發展與企業社會責任網,0,11,newdata
html body div div nav div div ul li a  ,國際事務,0,10,newdata
html body div div nav div div ul li a  ,GLOBAL,0,10,newdata
html body div div nav div div ul li div a  ,創意內容大會 TCCF,0,11,newdata
html body div div nav div div ul li div a  ,國際展會資訊,0,11,newdata
html body div div nav div div ul li div a  ,徵展資訊,0,11,newdata
html body div div nav div div ul li div a  ,海外市場推廣,0,11,newdata
html body div div nav div div ul li a  ,最新消息,0,10,newdata
html body div div nav div div ul li a  ,LATEST,0,10,newdata
html body div div nav div div ul li div a  ,新聞,0,11,newdata
html body div div nav div div ul li div a  ,趨勢商情,0,11,newdata
html body div div nav div div ul li div a  ,產業報導專題研究,0,11,newdata
html body div div nav div div ul li div a  ,故事現場：聽他們說創作,0,11,newdata
html body div div nav div div ul li div a  ,活動資訊,0,11,newdata
html body div div nav div div ul li div a  ,人員招募,0,11,newdata
html body div div nav div div ul li div a  ,常見問題,0,11,newdata
html body div div nav div div ul li a  ,公開資訊,0,10,newdata
html body div div nav div div ul li a  ,INFO,0,10,newdata
html body div div nav div div ul li div a  ,行政公告,0,11,newdata
html body div div nav div div ul li div a  ,採購公告,0,11,newdata
html body div div nav div div ul li div a  ,方案公告,0,11,newdata
html body div div nav div div ul li div a  ,下載專區,0,11,newdata
html body div div nav div div ul li div a  ,法規專區,0,11,newdata
html body div div nav div div ul li div a  ,內部控制專區,0,11,newdata
html body div div nav div div ul li div a  ,年度計畫與報告,0,11,newdata
html body div div nav div div ul li div a  ,國內外資源,0,11,newdata
html body div div nav div div ul li div a  ,產業諮詢會,0,11,newdata
html body div div nav div div ul li a  ,文策學院,0,10,newdata
html body div div nav div div ul li a  ,TAICCA School,0,10,newdata
html body div div nav div div ul li a  ,EN,0,10,newdata
html body div div main div section div div div h3  ,【文策院│演藝團體受嚴重特殊傳染性肺炎影響發生營運困難之紓困貸款說明會】,1,11,newdata
html body div div main div section div div div p  ,2021/11/30,1,11,newdata
html body div div main div section div div div strong  ,活動資訊,1,11,newdata
html body div div main div section div div div div p  ,Size:,1,12,newdata
html body div div main div section div div div p span  ,文化內容策進院（下稱文策院）接受文化部委託，協助受嚴重特殊傳染性肺炎影響而發生營運困難之演藝團體（下稱受影響演藝團體）取得紓困所需資金，推出受影響演藝團體紓困貸款。於7 月起陸續舉辦說明會，活動全程免費，即日起開放報名，額滿為止。,1,12,newdata
html body div div main div section div div div p span  ,本紓困貸款適用對象：從事音樂、舞蹈、傳統戲曲、現代戲劇、視覺藝術及影像藝術等展演活動，並依法於我國立案之財團法人、公益社團法人或依各縣市相關法規登記立案之演藝團體。,1,12,newdata
html body div div main div section div div div ul li a span strong  ,七月場次表,1,15,newdata
html body div div main div section div div div ul li a span strong  ,八月場次表,1,15,newdata
html body div div main div section div div div ul li a span strong  ,九月場次表,1,15,newdata
html body div div main div section div div div ul li a  ,十,1,13,newdata
html body div div main div section div div div ul li a span strong  ,月場次表,1,15,newdata
html body div div main div section div div div ul li a  ,十一,1,13,newdata
html body div div main div section div div div ul li a span strong  ,月場次表,1,15,newdata
html body div div main div section div div div ul li a  ,十二,1,13,newdata
html body div div main div section div div div ul li a span strong  ,月場次表,1,15,newdata
html body div div main div section div div div p span  ,歡迎踴躍報名參加。,1,12,newdata
html body div div main div section div div div p span  ,活動報名連結：,1,12,newdata
html body div div main div section div div div p span a  ,https://lihi1.com/DbK64,1,13,newdata
html body div div main div section div div div p span  ,12/07(二) 線上｜14:00~15:00 場次前通知線上直播網址,1,12,newdata
