Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,第四届中国经济学年会会议议程_中国经济学年会秘书处_CN_北京大学中国经济研究中心,8,0,0,0,cleaneval
1,html body text table tr td table tr td font  ,当前位置：首页>>CN>>会议>>中国经济学年会秘书处,94,1,0,0,cleaneval
2,html body text table tr td table tr td font  ,双击自动滚屏,98,0,1,0,cleaneval
3,html body text table tr td table tr td table tr td table tr td table tr td font b  ,第四届中国经济学年会会议议程,134,0,0,1,cleaneval
4,html body text table tr td table tr td table tr td table tr td table tr td  ,2004-12-10 阅读10544次,184,0,0,0,cleaneval
5,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,第四届中国经济学年会,205,1,0,1,cleaneval
6,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,（2004年12月11－12日，南开大学）,207,1,1,1,cleaneval
7,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,会议议程,210,1,1,1,cleaneval
8,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,12月10日 代表注册,213,1,1,1,cleaneval
9,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,地 点：南开大学校内明珠园,215,1,1,1,cleaneval
10,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,12月10日晚 经济学院院长、主任联席会,218,1,1,1,cleaneval
11,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,时 间：7:00－9:30,220,1,1,1,cleaneval
12,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,地 点：南开大学办公楼一楼会议室,222,1,1,1,cleaneval
13,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,主持人：中国经济学年会秘书长 海闻教授,224,1,1,1,cleaneval
14,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,12月11日上午 开幕式,228,1,1,1,cleaneval
15,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,地 点：南开大学伯苓楼一楼报告厅,230,1,1,1,cleaneval
16,html body text table tr td table tr td table tr td table tr td table tr td table tr td font p  ,8:30－8:50 开幕式,233,1,1,1,cleaneval
