Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,薛凯琪新专辑表情千奇百怪 再拿巨星开涮(图),10,0,0,0,cleaneval
1,html body text div div div a  ,返回雅虎首页,44,1,0,0,cleaneval
2,html body text div div form button  ,搜索,52,0,1,0,cleaneval
3,html body text div div a  ,资讯首页,65,1,0,0,cleaneval
4,html body text div div  ,|,66,1,1,0,cleaneval
5,html body text div div a  ,财经,68,1,1,0,cleaneval
6,html body text div div  ,|,69,1,1,0,cleaneval
7,html body text div div a  ,体育,71,1,1,0,cleaneval
8,html body text div div  ,|,72,1,1,0,cleaneval
9,html body text div div a  ,娱乐,74,1,1,0,cleaneval
10,html body text div div  ,|,75,1,1,0,cleaneval
11,html body text div div a  ,汽车,77,1,1,0,cleaneval
12,html body text div div  ,|,78,1,1,0,cleaneval
13,html body text div div a  ,房产,80,1,1,0,cleaneval
14,html body text div div  ,|,81,1,1,0,cleaneval
15,html body text div div a  ,科技,83,1,1,0,cleaneval
16,html body text div div  ,|,84,1,1,0,cleaneval
17,html body text div div a  ,访谈,86,1,1,0,cleaneval
18,html body text div div  ,|,87,1,1,0,cleaneval
19,html body text div div a  ,旅游,89,1,1,0,cleaneval
20,html body text div div  ,|,90,1,1,0,cleaneval
21,html body text div div a  ,社会,92,1,1,0,cleaneval
22,html body text div div  ,|,93,1,1,0,cleaneval
23,html body text div div a  ,社区,95,0,1,0,cleaneval
24,html body text div table tr td  ,娱乐首页,123,1,0,0,cleaneval
25,html body text div table tr td a  ,明星,129,1,1,0,cleaneval
26,html body text div table tr td a  ,美图,135,1,1,0,cleaneval
27,html body text div table tr td a  ,电影,141,1,1,0,cleaneval
28,html body text div table tr td a  ,音乐,147,1,1,0,cleaneval
29,html body text div table tr td a  ,电视,153,1,1,0,cleaneval
30,html body text div table tr td a  ,综艺,159,1,1,0,cleaneval
31,html body text div table tr td a  ,影院,165,1,1,0,cleaneval
32,html body text div table tr td a  ,幻灯,171,1,1,0,cleaneval
33,html body text div table tr td a  ,社区,177,1,1,0,cleaneval
34,html body text div table tr td a  ,访谈,183,1,1,0,cleaneval
35,html body text div table tr td a  ,时尚,189,1,1,0,cleaneval
36,html body text div table tr td a  ,旅游,195,0,1,0,cleaneval
37,html body text div table tr td table tr td a  ,[视听] 希亚《人鱼天堂》音乐MV,234,1,0,0,cleaneval
38,html body text div table tr td table tr td a  ,[视频]《冰河世纪2：消融》预告片,243,0,1,0,cleaneval
39,html body text div table tr td  ,·,269,1,0,0,cleaneval
40,html body text div table tr td a  ,娱乐幻灯,271,1,1,0,cleaneval
41,html body text div table tr td  ,·,272,1,1,0,cleaneval
42,html body text div table tr td a  ,在线影院,274,1,1,0,cleaneval
43,html body text div table tr td  ,·,275,1,1,0,cleaneval
