Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text title  ,10.新生活与明白神的旨意,8,1,0,0,cleaneval
1,html body text div p span  ,10.新生活与明白神的旨意,18,1,1,1,cleaneval
2,html body text div p b a font u  ,返目录,24,1,1,0,cleaneval
3,html body text div p b  ,,25,0,1,0,cleaneval
4,html body text div div span u  ,学习目的,36,1,0,1,cleaneval
5,html body text div div  ,1.认识明白神旨意的重要性；,38,1,1,1,cleaneval
6,html body text div div  ,2.了解明白神旨意的基本条件；,40,1,1,1,cleaneval
7,html body text div div  ,3.学会明白神旨意的方法。,42,1,1,1,cleaneval
8,html body text div div p span u  ,属灵作业,48,1,1,1,cleaneval
9,html body text div div p  ,1.自己预先查考圣经，并填好课文中所留下的空栏。,50,1,1,1,cleaneval
10,html body text div div p  ,2.利用早晨和晚上的时间祷告，祈求神赐下聪明和智慧，能够使你更好的明白福音的奥秘。,52,1,1,1,cleaneval
11,html body text div div p  ,3.花时间背诵经文，这将对你的灵命长进起特殊的作用：,54,1,1,1,cleaneval
12,html body text div div p a b  ,(19)明白神的旨意（罗12:2）,57,1,1,1,cleaneval
13,html body text div div p  ,；,58,1,1,1,cleaneval
14,html body text div div p a b  ,(20)明白神的旨意（腓2:13）,61,1,1,1,cleaneval
15,html body text div div p  ,；,62,1,1,1,cleaneval
16,html body text div div p a b  ,(d)荣神益人（弗4:29）,65,1,1,1,cleaneval
17,html body text div div p  ,。,66,1,1,1,cleaneval
18,html body text div div p  ,4.每天研读圣经，你将更加亲近于神。,68,1,1,1,cleaneval
19,html body text div p font  ,人生就如一个大迷宫，走一步就不知道下一步的方向。但神愿意与我们并肩同行，引导我们经过每一个人生关键选择。,77,1,1,1,cleaneval
20,html body text div p font p  ,基督徒在他一生所行的事中，应当弃绝自己的意思而顺服神的旨意，因而他所面对的一个重要问题就是如何明白神的旨意。我们寻求神的旨意，为的是更好地顺服神，切实地遵行他向我们所定的约。,79,1,1,1,cleaneval
21,html body text div p font p  ,耶稣基督被差遣到世界上，遵行并成就了神的救赎计划；同样，基督徒生活在世界上，神对每人都有一幅特定的蓝图，了解这一蓝图并遵行神的计划，正是你我一生的本分，要知道这也是神向我们所定的旨意。,81,0,1,1,cleaneval
22,html body text div center span u b  ,·查 经·,92,1,0,1,cleaneval
23,html body text div p span  ,一、我们能够明白神的旨意：,99,1,1,1,cleaneval
24,html body text div font  ,神特别希望并喜悦他的儿女能够照他的旨意生活。所以，神必定用他的话语光照我们，让我们明白他的旨意。,103,1,1,1,cleaneval
25,html body text div p font b  ,1.明白神的旨意是神的命令：,110,1,1,1,cleaneval
26,html body text div p font b  ,“不要作糊涂人，要______主的______如何。”（弗5:17）,115,1,1,1,cleaneval
27,html body text div p font p  ,“他又说：‘我们祖宗的神拣选了你，叫你______他的______，又______那义者，______他口中所出的______。’”（徒22:14）,117,1,1,1,cleaneval
28,html body text div p font b  ,2.明白神的旨意是神的应许：,123,1,1,1,cleaneval
29,html body text div p font b  ,“你或向左，或向右，你________后边有声音说：‘这是______，要行在其中。’”（赛30:21）,128,1,1,1,cleaneval
30,html body text div p font  ,既然神已经承诺藉着自己的话语来带领我们，不管在什么情况下，他肯定叫我们确切地明白他的旨意。,132,1,1,1,cleaneval
31,html body text div p font b  ,3.明白神的旨意是神的工作：,139,1,1,1,cleaneval
32,html body text div p font b  ,“我要教导你，______你当行的路；我要______在你身上劝戒你。”（诗32:8）,144,1,1,1,cleaneval
33,html body text div p font p  ,“因为你们____________，都是神在你们心里______， 为要成就他的美意。”（腓2:13）,146,0,1,1,cleaneval
34,html body text div table tr td center font  ,何为神的旨意？,157,1,0,1,cleaneval
35,html body text div table tr td font  ,简单地说，“神的旨意”是神对每一个信徒一生的心意或计划，这计划最适合我们的个性、恩赐、需要、品行和周围的环境。你行在他的计划中，按他的心意生活，那就是遵行神的旨意了。可见，神的旨意并不是高深莫测的理论，而是与你息息相关的具体存在。最基本的“神的旨意”包括：,163,1,1,1,cleaneval
36,html body text div table tr td font  ,1.尽心尽意尽力爱神,169,1,1,1,cleaneval
37,html body text div table tr td font  ,2.爱人如己,171,1,1,1,cleaneval
38,html body text div table tr td font  ,3.律法的教训,173,1,1,1,cleaneval
39,html body text div table tr td font  ,4.成为圣洁,175,1,1,1,cleaneval
40,html body text div table tr td font  ,5.常常喜乐,177,1,1,1,cleaneval
41,html body text div table tr td font  ,6.不住祷告,179,1,1,1,cleaneval
42,html body text div table tr td font  ,7.凡事谢恩,181,1,1,1,cleaneval
43,html body text div table tr td font  ,太22:37,184,1,1,1,cleaneval
44,html body text div table tr td font  ,太22:39,186,1,1,1,cleaneval
45,html body text div table tr td font  ,罗2:18,188,1,1,1,cleaneval
46,html body text div table tr td font  ,利11:44,190,1,1,1,cleaneval
47,html body text div table tr td font  ,帖前5:16,192,1,1,1,cleaneval
48,html body text div table tr td font  ,帖前5:17,194,1,1,1,cleaneval
49,html body text div table tr td font  ,帖前5:18,196,1,1,1,cleaneval
50,html body text div p span  ,二、对神旨意的正确态度：,205,1,1,1,cleaneval
51,html body text div font  ,我们常常不能领会神的旨意，原因一般有以下两个：,209,1,1,1,cleaneval
52,html body text div font p font  ,·其一是因挂念这世界，担心自己的利益和神的旨意相抵触，从而不愿意去寻求神的带领；,212,1,1,1,cleaneval
53,html body text div font p font  ,·另一个则是因缺乏足够的信心，不敢把自己人生全部交托给神。,214,1,1,1,cleaneval
54,html body text div font p  ,当你放弃自己的意思，凡事交托仰望主，心甘情愿遵行神的旨意时，神绝对不会相你隐藏他的旨意。,217,1,1,1,cleaneval
55,html body text div p font b  ,1.当欣然乐意明白神的旨意：,224,1,1,1,cleaneval
56,html body text div p font b  ,“因此，我们自从听见的日子，也就为你们不住地______，愿意你们在一切属灵的智慧悟性上，______神的旨意。”（西1:9）,229,1,1,1,cleaneval
57,html body text div p font p  ,“求你使我清晨______你慈爱之言，因我倚靠你，求你使我______当行的路，因我的心______你。”（诗143:8）,231,1,1,1,cleaneval
58,html body text div p font p font  ,2.应顺服神，遵行他的旨意：,237,1,1,1,cleaneval
59,html body text div p font p font b  ,“所以你们要______这约的话，好叫你们在______上______。”（申29:9）,242,1,1,1,cleaneval
60,html body text div p font p font p  ,“我们知道神不听________，惟有______神、______他旨意的，神才听他。”（约9:31）,244,1,1,1,cleaneval
61,html body text div p font b  ,3.要耐心等候神显明他的旨意：,250,1,1,1,cleaneval
62,html body text div p font b  ,“我的心哪，你当______，专______神，因为我的______是从他而来。”（诗62:5）,255,1,1,1,cleaneval
63,html body text div p font p  ,“我______耶和华，我的心______，我也______他的话。”（诗130:5）,257,1,1,1,cleaneval
64,html body text div p span  ,三、明白神旨意的条件：,265,1,1,1,cleaneval
65,html body text div p font b  ,1.要认罪悔改、洁净自己：,271,1,1,1,cleaneval
66,html body text div p font  ,“我若心里注重______，主必不听。”（诗66:18）,276,1,1,1,cleaneval
67,html body text div p font  ,2.要摆脱对世界的贪恋：,281,1,1,1,cleaneval
68,html body text div p font  ,“不要______这个______，只要心意______而变化，叫你们______何为神的善良、纯全、可喜悦的______。”（罗12:2）,285,1,1,1,cleaneval
69,html body text div p font  ,3.要专心依靠神：,290,1,1,1,cleaneval
70,html body text div p font  ,“你要______耶和华，不可依靠自己的聪明，在你一切所行的事上，都要______他，他必指引你的路。”（箴3:5-6）,294,1,1,1,cleaneval
71,html body text div p font  ,4.要被圣灵充满，做一个属灵的基督徒：,299,1,1,1,cleaneval
72,html body text div p font p font  ,“然而，属血气的人不领会神圣灵的事，反倒以为愚拙，并且不能知道，因为这些事惟有______人才能看透。”（林前2:14）,303,0,1,1,cleaneval
73,html body text div p font p span font  ,四、明白神旨意的方法：,316,1,0,1,cleaneval
74,html body text div p font font font b  ,1.藉着圣经的话语：,323,1,1,1,cleaneval
75,html body text div p font font p font  ,“这______不可离开你的口，总要昼夜______，好使你谨守______这书上所写的一切话。如此，你的道路就可以______，凡事_____。”（书1:8）,328,1,1,1,cleaneval
76,html body text div p font font p font  ,圣经是不变的真理，是我们作一切抉择的前提和标准。圣经记录着神给我们的应许、祝福、教训和命令等，神早已藉着圣经告诉我们他向我们所定的旨意。所以，我们首先要有熟悉神的话语，这是我们明白神的旨意的基本前提。,332,1,1,1,cleaneval
77,html body text div p font font p font b  ,2.藉着祷告和内心的平安：,338,1,1,1,cleaneval
