tag,content,label,depth,domain
html body div div div div div div span  ,2021/12/28,0,9,newdata
html body div div div div div div font span  ,20:30:33,0,10,newdata
html body div div div div div div  ,		 GMT+8:00 		,0,8,newdata
html body div div div div div div span font  ,"如有切換分頁或需取得最新時間,請按F5",0,10,newdata
html body div div div div ul li a  ,會員專區,0,9,newdata
html body div div div div ul li a  ,會員專區,0,9,newdata
html body div div div div ul li a  ,活動分類,0,9,newdata
html body div div div div ul li a  ,活動分類,0,9,newdata
html body div div div div ul li a  ,重要公告,0,9,newdata
html body div div div div ul li a  ,重要公告,0,9,newdata
html body div div div div ul li a  ,我要報名,0,9,newdata
html body div div div div ul li a  ,我要報名,0,9,newdata
html body div div div div ul li a  ,活動查詢,0,9,newdata
html body div div div div ul li a  ,活動查詢,0,9,newdata
html body div div div div ul li a  ,熱門活動,0,9,newdata
html body div div div div ul li a  ,熱門活動,0,9,newdata
html body div div div div ul li a  ,活動回顧,0,9,newdata
html body div div div div ul li a  ,活動回顧,0,9,newdata
html body div div div div ul li a  ,導覽預約,0,9,newdata
html body div div div div ul li a  ,導覽預約,0,9,newdata
html body div div div div ul li a  ,預約申請,0,9,newdata
html body div div div div ul li a  ,預約申請,0,9,newdata
html body div div div div ul li a  ,我的記錄,0,9,newdata
html body div div div div ul li a  ,我的記錄,0,9,newdata
html body div div div div p  ,您將於,0,7,newdata
html body div div div div p  ,秒後自動登出藝文平台，請問是否繼續使用？,0,7,newdata
html body div div div div p  ,閒置時間過長，請重新登入。,0,7,newdata
html body div div title  ,原．未─原住民工藝的未來式,1,5,newdata
html body div div form div div div a  ,首頁,1,9,newdata
html body div div form div div div  ,>活動明細,1,8,newdata
html body div div form div div div div a span svg title  ,AddThis,1,13,newdata
html body div div form div div div div a  ,0,1,10,newdata
html body div div form div div div div a  ,Share,1,10,newdata
html body div div form div div div h1  ,原．未─原住民工藝的未來式,1,9,newdata
html body div div form div div div div div div a  ,			 360環景照片預覽 			,1,12,newdata
html body div div form div div div div div div a  ,			 加入我有興趣的課程 			,1,12,newdata
html body div div form div div div div h1  ,場次資料,1,10,newdata
html body div div form div div div div div table thead tr th  ,				 	展覽期間 				 	,1,14,newdata
