tag,content,x,y,width,height,label,depth
html body text title span span  ,What exactly is a U.S. Marshal?,0,0,645,18,0,6
html body text center table tbody tr td table tbody tr td small a span  ,Ask Home,549,9,61,15,0,15
html body text center table tbody tr td table tbody tr td small span  ,-,610,9,7,15,0,14
html body text center table tbody tr td table tbody tr td small a span  ,Yahoo!,617,9,42,15,0,15
html body text center table tbody tr td table tbody tr td small span  ,-,659,9,8,15,0,14
html body text center table tbody tr td table tbody tr td small a span  ,Help,667,9,26,15,0,15
html body text center table tbody tr td big b span  ,Ask Yahoo!,92,60,94,21,1,11
html body text center table tbody tr td a span  ,Ask a question,597,152,95,17,0,10
html body text center table tbody tr td table tbody tr td b span  ,"Friday October 19, 2001",96,184,166,17,1,14
html body text center table tbody tr td table tbody tr td small b a span  ,Previous,413,185,53,15,0,16
html body text center table tbody tr td table tbody tr td small b span  ,|,466,185,6,15,0,15
html body text center table tbody tr td table tbody tr td small b a span  ,Next,472,185,27,15,0,16
html body text center table tbody tr td table tbody tr td table tbody tr td small b span  ,Dear Yahoo!:,96,218,75,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small b span  ,What exactly is a U.S. Marshal?,96,242,183,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small i span  ,Mack,96,266,30,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small i span  ,"New Orleans, Louisiana",96,282,130,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small b span  ,Dear Mack:,96,314,68,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small span  ,"The Web is teeming with information covering every governmental topic, issue, and agency. (As a matter of fact, we recently featured an incredibly useful government resource,",96,338,393,47,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,FirstGov,251,370,50,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small span  ,", in",302,370,20,15,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,Yahoo! Picks of the Week,322,370,142,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small span  ,".) To find the answer to your question, we searched on the term """,96,370,391,31,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,U.S. Marshal,417,386,74,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td small span  ,""" and quickly found the answer at the U.S. Department of Justice web site.",96,386,400,31,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,The,96,431,24,15,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p a b span  ,United States Marshals Service,121,431,181,15,1,20
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,section provided all the information we needed. The first thing we spotted was the U.S. Marshals Service mission statement:,96,431,395,47,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td blockquote span  ,The mission of the United States Marshals Service is to protect theFederal courts and ensure the effective operation of the judicial system.,136,493,316,47,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,"That statement provided a good start, but we wanted to know more about a U.S. Marshal's day-to-day activities. Fortunately, all we had to do was continue reading.",96,554,399,47,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,"The role of the U.S. Marshal is constantly changing depending on the state of the union. In the past, they were responsible for such duties as taking the census and protecting the president. In recent years, the U.S. Marshals have been responsible for ""providing protection for the federal judiciary, transporting federal prisoners, protecting endangered federal witnesses and managing assets seized from criminal enterprises."" We also learned that U.S. Marshals arrest more federal fugitives than all other federal agencies combined, makingaround 55 percent of all federal arrests.",96,615,402,127,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,"In the wake of the recent attacks in New York and Washington, D.C., there has been a great deal of discussion about the implementation of a Federal Air Marshal program. We weren't sure whether the two programs were related, so we searched on the term """,96,757,398,63,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p a span  ,air marshal,296,805,63,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td p span  ,""" and discovered that they are indeed different governmental programs.",96,805,401,31,1,18
html body text center table tbody tr td table tbody tr td table tbody tr td p small span  ,The,96,853,24,15,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td p small a span  ,Federal Air Marshal,121,853,111,15,1,20
html body text center table tbody tr td table tbody tr td table tbody tr td p small span  ,"program provides ""an anti-hijacking capability for U.S. civil aviation"" and is part of the",96,853,383,31,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td p small a span  ,Federal Aviation Administration,314,869,174,15,1,20
html body text center table tbody tr td table tbody tr td table tbody tr td p small span  ,. Visit the FAA's,96,869,396,31,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td p small a span  ,Career Opportunities,181,885,115,15,1,20
html body text center table tbody tr td table tbody tr td table tbody tr td p small span  ,"section for information on becoming a Civil Aviation SecuritySpecialist, otherwise known as a Federal Air Marshal.",96,885,396,47,1,19
html body text center table tbody tr td table tbody tr td table tbody tr td span  ,Related Links,512,184,89,17,0,17
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,514,209,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,How can I become an FBI Special Agent?,538,208,140,31,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,514,247,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,"What the heck is a ""corporate trainer"" anyway?",538,246,150,31,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,514,285,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,Federal Air Marshal Program,538,284,107,31,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td span  ,More Questions About,512,340,146,17,0,17
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,514,365,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small b a span  ,Law Enforcement,538,365,102,15,0,20
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,514,390,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small b a span  ,Yahoo! Answers - Law Enforcement & Police,538,389,128,31,0,20
html body text center table tbody tr td table tbody tr td table tbody tr td span  ,Get Ask Your Way,512,445,119,17,0,17
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,512,470,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,Most Popular,538,470,72,15,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,512,495,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,Email,538,495,32,15,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,512,520,16,17,0,18
html body text center table tbody tr td table tbody tr td table tbody tr td small a span  ,Yahoo! Toolbar,538,520,83,15,0,19
html body text center table tbody tr td table tbody tr td table tbody tr td b span  ,�,512,545,16,17,0,18
html body text center table tbody tr td table tbody tr td small a span  ,Email this page,116,941,87,15,0,15
html body text center table tbody tr td table tbody tr td small span  ,-,202,941,7,15,0,14
html body text center table tbody tr td table tbody tr td small a span  ,Save to del.icio.us,229,941,101,15,0,15
html body text center table tbody tr td table tbody tr td small a span  ,Save to My Web,350,941,92,15,0,15
html body text center table tbody tr td table tbody tr td small a span  ,Digg This,461,941,54,15,0,15
html body text center table tbody tr td font span  ,Copyright � 2001 Yahoo! Inc. All rights reserved.,163,978,221,11,0,10
html body text center table tbody tr td font a span  ,Privacy Policy,384,978,65,11,0,11
html body text center table tbody tr td font span  ,-,449,978,6,11,0,10
html body text center table tbody tr td font a span  ,Terms of Service,455,978,77,11,0,11
html body text center table tbody tr td font span  ,-,532,978,6,11,0,10
html body text center table tbody tr td font a span  ,Copyright/IP Policy,538,978,85,11,0,11
html body text center table tbody tr td p font span  ,"All information available through or in connection with Ask Yahoo! is informational only and provided ""as is"" without warranties, representations, or guarantees of any kind. Yahoo! disclaims any and all implied warranties respecting Ask Yahoo!. Use of Ask Yahoo! is entirely at your own risk and is not a substitute for conducting your own research.",92,1005,601,33,0,11
