tag,content,x,y,width,height,label,depth
html body text title span span  ,IGN: Babylon 5: The Complete Fourth Season Review,0,0,777,36,0,6
html body text div div div a span  ,IGN.com,8,8,64,17,0,8
html body text div div div span  ,|,72,8,7,17,0,7
html body text div div div a span  ,PC Games,79,8,72,17,0,8
html body text div div div span  ,|,151,8,7,17,0,7
html body text div div div a span  ,PS2,158,8,30,17,0,8
html body text div div div span  ,|,188,8,7,17,0,7
html body text div div div a span  ,PS3,195,8,30,17,0,8
html body text div div div span  ,|,225,8,7,17,0,7
html body text div div div a span  ,PSP,232,8,31,17,0,8
html body text div div div span  ,|,262,8,7,17,0,7
html body text div div div a span  ,Xbox,270,8,39,17,0,8
html body text div div div span  ,|,309,8,7,17,0,7
html body text div div div a span  ,Xbox 360,316,8,68,17,0,8
html body text div div div span  ,|,384,8,7,17,0,7
html body text div div div a span  ,GameCube,391,8,76,17,0,8
html body text div div div span  ,|,467,8,7,17,0,7
html body text div div div a span  ,Wii,474,8,28,17,0,8
html body text div div div span  ,|,502,8,7,17,0,7
html body text div div div a span  ,DS,509,8,24,17,0,8
html body text div div div span  ,|,533,8,7,17,0,7
html body text div div div a span  ,GBA,540,8,37,17,0,8
html body text div div div span  ,|,577,8,7,17,0,7
html body text div div div a span  ,Wireless,584,8,60,17,0,8
html body text div div div span  ,|,644,8,7,17,0,7
html body text div div div a span  ,FilePlanet,651,8,69,17,0,8
html body text div div div span  ,|,720,8,7,17,0,7
html body text div div div a span  ,Cheats,727,8,43,17,0,8
html body text div div div span  ,|,8,26,7,17,0,7
html body text div div div a span  ,Movies,15,26,52,17,0,8
html body text div div div span  ,|,67,26,7,17,0,7
html body text div div div a span  ,TV,74,26,25,17,0,8
html body text div div div span  ,|,99,26,7,17,0,7
html body text div div div a span  ,DVD,106,26,39,17,0,8
html body text div div div span  ,|,145,26,7,17,0,7
html body text div div div a span  ,Music,152,26,44,17,0,8
html body text div div div span  ,|,196,26,7,17,0,7
html body text div div div a span  ,Comics,203,26,53,17,0,8
html body text div div div span  ,|,256,26,8,17,0,7
html body text div div div a span  ,Gear,264,26,35,17,0,8
html body text div div div span  ,|,299,26,7,17,0,7
html body text div div div a span  ,Sports,306,26,45,17,0,8
html body text div div div span  ,|,351,26,7,17,0,7
html body text div div div a span  ,Cars,358,26,33,17,0,8
html body text div div div span  ,|,391,26,7,17,0,7
html body text div div div a span  ,Babes,398,26,40,17,0,8
html body text div div form table tbody tr td span  ,Search:,132,53,48,17,0,11
