tag,content,x,y,width,height,label,depth
html body text title span span  ,Maine Business Search Engine - Over 70 000 Maine Businesses listed - Business Guide,0,0,792,36,0,6
html body text table tbody tr td table tbody tr td a span  ,Login,549,11,43,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,592,11,7,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Create an Account,599,11,118,17,0,13
html body text table tbody tr td table tbody tr td table tbody tr td span  ,Search Maine,93,181,88,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Restaurant Guide,202,181,112,17,0,17
html body text table tbody tr td table tbody tr td form table tbody tr td table tbody tr td a span  ,List Your Business,363,233,121,17,1,22
html body text table tbody tr td table tbody tr td a span  ,Classifieds,112,306,74,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,186,306,7,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Job Listings,193,306,82,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,275,306,7,17,0,12
html body text table tbody tr td table tbody tr td a span  ,High School Sports,282,306,129,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,411,306,8,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Contact Us,418,306,75,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,494,306,7,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Star Rating System,501,306,128,17,0,13
html body text table tbody tr td table tbody tr td span  ,|,629,306,7,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Sitemap,636,306,52,17,0,13
html body text table tbody tr td table tbody tr td span  ,Visit our featured business,315,347,170,17,1,12
html body text table tbody tr td table tbody tr td a span  ,Copyright Â© 2002-2006 PHD Consulting Inc.,137,567,296,17,0,13
html body text table tbody tr td table tbody tr td span  ,All rights reserved.,433,567,128,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Our Disclaimer.,561,567,102,17,0,13
