tag,content,x,y,width,height,label,depth
html body text title span span  ,Migration and integration: a challenge and an opportunity for Europe,0,0,777,36,0,6
html body text p b span  ,Doc. 10453,8,161,75,17,1,6
html body text p span  ,7 February 2005,8,195,106,17,1,5
html body text p b span  ,Migration and integration: a challenge and an opportunity for Europe,8,229,479,17,1,6
html body text p span  ,Report,8,263,44,17,1,5
html body text p span  ,"Committee on Migration, Refugees and Population",8,297,327,17,1,5
html body text p span  ,"Rapporteur: Mr Jean-Guy Branger, France, Group of the European People's Party",8,331,521,17,1,5
html body text p i span  ,Summary,8,365,60,17,1,6
html body text p span  ,"Strong, steady growth can be noted in human mobility and Europe, which is viewed as an area of stability and prosperity, will continue in coming years to be immensely attractive to migrants from less-favoured countries and to asylum seekers fleeing wars, persecution and human rights violations.",8,399,769,53,1,5
html body text p span  ,"In a multicultural, multi-ethnic Europe, which is increasingly a refuge for asylum seekers and a destination for immigrants, the most pressing challenge for governments is to guarantee that the fundamental values of our societies, such as human rights, democracy and the rule of law, will be shared by everyone living in Europe.",8,469,769,53,1,5
html body text p span  ,"It is necessary to take up this challenge, in order to be able to benefit fully from the opportunities that immigration offers Europe in terms of the supply of labour, intellectual input and cultural diversity.",8,539,769,35,1,5
html body text p b span  ,I. Draft resolution,8,591,148,17,1,6
html body text p span  ,"1. Strong, steady growth can be noted in human mobility. Europe, which is viewed as an area of stability and prosperity, will continue in coming years to be immensely attractive to migrants from less-favoured countries and to asylum seekers fleeing wars, persecution and human rights violations.",8,625,769,53,1,5
html body text p span  ,"2. In a multicultural, multi-ethnic Europe, which is increasingly a refuge for asylum seekers and a destination for immigrants, the most pressing challenge for governments is to guarantee that the fundamental values of our societies, such as the respect of human rights, democracy and the rule of law, will be shared by everyone living in Europe.",8,695,769,53,1,5
html body text p span  ,"3. It is necessary to take up this challenge in order to be able to benefit fully from the opportunities that immigration offers Europe in terms of the supply of labour, intellectual input and cultural diversity.",8,765,769,35,1,5
html body text p span  ,"4. The concept of integration aims at ensuring social cohesion through accommodation of diversity understood as a two-way process. On the one hand, immigrants have to accept basic values of European societies. On the other, host societies have to respect immigrants� dignity and distinct identity and to take it into account when elaborating domestic policies.",8,817,769,72,1,5
html body text p span  ,"5. In accordance with its previous recommendations and resolutions, the Parliamentary Assembly reiterates the importance of implementing effective policies to ensure full integration of foreigners residing lawfully in Council of Europe member states as part of an overall strategy covering all aspects of migration, including labour migration and illegal migration, and the efforts to combat trafficking in human beings and to combat terrorism.",8,906,769,71,1,5
html body text p span  ,"6. In this connection, the Assembly refers to its",8,994,351,17,1,5
html body text p a span  ,Recommendation 1625,359,994,156,17,1,6
html body text p span  ,"(2003) on policies for the integration of immigrants in Council of Europe member states and in particular reasserts the principle that immigrants should be able to participate fully in the life of the host country, on the basis of equality of rights and opportunities in return for equality of obligations. Those obligations include showing respect for human rights and fundamental freedoms, as laid down in the European Convention on Human Rights, for the principle of equality between women and men and, generally, for the Constitution and laws of the host state.",8,994,769,107,1,5
html body text p span  ,"7. Council of Europe member states must, for their part, ensure that, within their jurisdiction, immigrants are not discriminated against in terms of access to and protection of their rights, with a particular attention to certain sectors, such as education and employment.",8,1118,769,53,1,5
html body text p span  ,"8. The Assembly draws attention to the many activities pursued by the Council of Europe's intergovernmental committees, in particular the European Committee on Migration (CDMG), to devise and promote integration policies capable of meeting the current challenges.",8,1188,769,53,1,5
html body text p span  ,"9. In this connection, the Assembly calls on Council of Europe member states to:",8,1258,542,17,1,5
html body text p span  ,"i. make it one of their political priorities to agree a migration strategy, entailing an overall approach encompassing all aspects of migration, including its causes and consequences and the challenges it raises. In this context, it would be appropriate to:",8,1292,769,53,1,5
html body text ul p span  ,"a. emphasise the importance of co-development policies, with the aim of reducing poverty in the countries of origin, while giving them responsibility for managing development instruments and resources;",48,1362,729,35,1,6
html body text ul p span  ,"b. take steps to avoid migratory movements generated by the need for protection, through activities and means of pressure aimed at preventing conflicts and promoting respect for human rights in the countries of origin;",48,1414,729,53,1,6
html body text p span  ,"ii. ensure, in all their activities that may have implications for migration, including fighting terrorism, strict respect for human rights and fundamental freedoms, as laid down in the European Convention on Human Rights and the protocols thereto;",8,1484,769,53,1,5
html body text p span  ,"iii. offer opportunities for lawful immigration, with a view to employment, to a number of would-be emigrants on the basis of a selection founded on objective criteria which take account of labour market needs in the host country and its social system's capacity to guarantee a reasonable standard of living for these workers and their families;",8,1554,769,53,1,5
html body text p span  ,"iv. make a subsequent effort to foster knowledge of the fundamental values of the Council of Europe at all levels within society, in particular among immigrants, by:",8,1624,769,35,1,5
html body text ul p span  ,"a. holding courses on basic rights and responsibilities for newly arrived immigrants, free of charge;",48,1676,658,17,1,6
html body text ul p span  ,b. including this type of instruction in optional or mandatory integration schemes for immigrants in those countries where such schemes exist;,48,1710,729,35,1,6
html body text ul p span  ,"c. where possible, organising this type of instruction in the countries of origin for would-be emigrants whose applications have been accepted;",48,1762,729,35,1,6
html body text p span  ,"v. promote campaigns for the distribution of reliable, clear information, not liable to be interpreted in a racist or xenophobic manner, on migration and on the culture, traditions and integration objectives of immigrants living within their borders;",8,1814,769,53,1,5
html body text p span  ,vi. develop reliable instruments for measuring migratory movements at national level and co-operate in ensuring data comparability at an international level.,8,1884,769,35,1,5
html body text p span  ,"10. In addition, the Assembly invites the European Union to:",8,1936,413,17,1,5
html body text p span  ,i. pursue its efforts to establish a common asylum and migration policy;,8,1970,483,17,1,5
html body text p span  ,ii. support the new member states' efforts to cope with illegal immigration and to endow them with legal and practical means of enhancing immigrants' integration;,8,2004,769,35,1,5
html body text p span  ,iii. help raise European public awareness of the consequences of the accession of the new member states and of their citizens' rights with regard to freedom of movement.,8,2056,769,35,1,5
html body text p b span  ,II. Explanatory memorandum by,8,2108,256,17,1,6
html body text p b span  ,Mr Jean-Guy Branger,264,2108,153,17,1,6
html body text p i span  ,"""Immigrants are a living testimony to history and to the present."" Emile Mallet, Sociologist",8,2142,583,17,1,6
html body text p b span  ,I. Introduction,8,2176,129,17,1,6
html body text p span  ,"1. The issues raised by immigration and integration represent a huge challenge that Europe must now take up. This is because human mobility is showing strong, steady growth. Europe, which is perceived as a stable, prosperous area, will continue in coming years to be extremely attractive to migrants from less fortunate countries. The Council of Europe has to take full part in debate on the integration process, as the challenge posed is consistent with fulfilment of its principal objectives.",8,2210,769,89,1,5
html body text p span  ,"2. The vast majority of people who have settled in Europe on a long-term basis have gradually become integrated in the population of the host country and aspire to live there peacefully, being aware of the advantages Europe has to offer in terms of respect for fundamental freedoms and human rights, employment and access to health care and, in the case of their children, to education. Yet most of the Council of Europe member states are now reconsidering the integration policies they have pursued to date, which have not succeeded fully satisfactorily in integrating immigrants lawfully resident on their territory and members of their families into the economic, social and political set-up of the country. This situation is reflected in the compartmentalisation of society and fosters feelings of intolerance and xenophobia.",8,2316,769,125,1,5
html body text p span  ,"3. While western Europe has taken in tens of millions of immigrants who came in search of freedom and the opportunity to prosper, it is now the destination of waves of migrants from areas where not only is there rampant poverty, but despotic governments or terrorist groups act in an arbitrary fashion or are guilty of persecution or violence. All that these prospective immigrants know about European civilisation is that it is materially successful; they are unaware of the rules underpinning our societies, which are based on the principles of equality and the universality of human rights. These migrants put our societies in a paradoxical situation, insofar as people come to Europe in search of protection against arbitrary rule and access to political, social and financial independence, whereas certain groups would like to impose rules governing ""immigrant communities"" that are at variance with the independence that goes hand-in-hand with equality and the universality of human rights.",8,2458,769,161,1,5
html body text p span  ,"4. It is all the more difficult to rise to the challenge as the second-generation and third-generation children of immigrants sometimes claim to adhere to ""fundamentalist"" groups, whereas their parents wanted themselves and their children to become integrated into the host society.",8,2636,769,53,1,5
html body text p span  ,"5. This challenge is having to be addressed in a difficult climate, in which there is a decline in the number of industrial jobs in Europe as a result of relocation and, at the same time, an influx of poorly-skilled immigrants who, precisely the because of their lack of skills, have problems in finding jobs. It has to be admitted that the difficulties experienced by certain immigrants are exploited, under the pretext of the strict enforcement of certain religious laws, for subversive political ends, which go so far as to include enlistment by terrorist groups, as is borne out by the attacks in the United States on 11 September 2001 and those in Madrid on 11 March 2004.",8,2706,769,107,1,5
html body text p span  ,"6. It must likewise be admitted that certain iniquitous religious leaders stir up feelings of hatred or even racism towards the host society or some sections of that society. This is leading to an unacceptable resurgence of the anti-Semitism that left its tragic mark on Europe's history. Our countries must not turn a blind eye to these challenges to their own values and must take a firm stand in response to those who call for ever-greater tolerance and who at the same time disseminate messages of hatred or even encourage terrorism. This firm stand must, however, be taken with due regard for the rules laid down in the European Convention on Human Rights and the constitutional safeguards in force in European countries.",8,2830,769,125,1,5
html body text p span  ,"7. The Parliamentary Assembly of the Council of Europe has paid particularly close attention to the question of integrating immigrants, a field in which it has adopted, inter alia, Recommendation 712 (1973) on integration of migrant workers with the society of their host countries, Resolution 631 (1976) on integration of migrants into society as regards education and cultural development, Recommendation 1206 (1993) on integration of migrants and community relations,",8,2972,769,89,1,5
html body text p a span  ,Recommendation 1500,152,3044,156,17,1,6
html body text p span  ,"(2001) on participation of immigrants and foreign residents in political life in the Council of Europe member states and Recommendation 1596 (2003) on the situation of young migrants in Europe. The Rapporteur also wishes to mention Recommendation 1625 (2003) on policies for the integration of immigrants in Council of Europe member states, and in particular the principle that immigrants should be able to participate fully in the life of the host country's society on the basis of equality of rights and opportunities in return for equality of obligations.",8,3044,769,107,1,5
html body text p b span  ,2. Fundamental values of the Council of Europe,8,3168,350,17,1,6
html body text p span  ,"8. The fundamental values upheld by the Council of Europe are human rights, pluralist democracy, the rule of law, which takes precedence over force, and the promotion of the cultural diversity of Europe. This diversity is not a culture in itself, but a mosaic of different cultures.",8,3202,769,53,1,5
html body text p span  ,"9. Since 11 September 2001 it has been necessary to supplement these values with a political objective common to all member states: that of combating terrorism, which, having struck in other parts of the world before reaching our borders, made its full presence felt within Europe itself, with the bloody attack in Madrid in March 2004 (a repeat of the attacks in Paris in 1986, among others). The constant threat we face from terrorist groups is such that we cannot lower our guard in the near or foreseeable future: it is a key factor that must now be incorporated in our discussions on immigration and integration.",8,3272,769,107,1,5
html body text p span  ,"10. Fundamentalism can lead to terrorism, and we must take this into account in our own countries by ensuring that the groups concerned do not have a podium within our national borders that they can use to spread hate; at the same time, we must be careful that the, albeit necessary, measures taken do not undermine the Council of Europe's values by imposing unwarranted, disproportionate restrictions on immigrants' personal freedoms or by discriminating against them. Combating illegal immigration, and dismantling the human trafficking networks which are, unfortunately, all too common on European territory, are also priorities for the future. France, with the reform of its legislation early in 2004 at the instigation of Mr Nicolas Sarkozy, is one of the countries behind this approach.",8,3396,769,125,1,5
html body text p b span  ,3. Demographic context,8,3538,186,17,1,6
html body text p i b span  ,3.1. Statistics,8,3576,115,17,1,7
html body text p sup a span  ,1,123,3572,6,15,0,7
html body text p i span  ,3.1.1. Population trends in the main regions of Europe from 1950 to 2050,8,3610,495,17,1,6
html body text p span  ,"11. Analyses for western Europe based on work by the United Nations dating from 2001 reveal the following situation: after a very steep population increase between 1950 and 1975, the pace of increase declines until 2010; the population then tends to stagnate until 2013, after which it begins to fall increasingly steeply until 2050.",8,3644,769,53,1,5
html body text p span  ,"12. In southern Europe there is a substantial increase until the 1990s, which then slows down until 2010, after which the population falls sharply, to return to the 1960 figure by 2050.",8,3714,769,35,1,5
html body text p span  ,"13. In northern Europe, the population increase is moderate but steady from the 1950s to the 2030s, and then declines very slightly until 2050.",8,3766,769,35,1,5
html body text p span  ,"14. In eastern Europe, excluding the Russian Federation, the situation is somewhat comparable to that in southern Europe, with an even more substantial rise in population until the 2000s, followed by a much faster, sharper fall, bringing the population in 2050 back to what it was in 1950.",8,3818,769,53,1,5
html body text p span  ,"15. The situation in the Russian Federation is even more dramatic: having shot up in the period up to the 1990s, the population falls particularly quickly and spectacularly up to 2050.",8,3888,769,35,1,5
html body text p span  ,"16. All these analysis are based on the likely hypothesis that the fertility rate will rise slightly but will never be sufficient to make good the difference between the number of births and the number of deaths, as the latter is, on average, increasingly high.",8,3940,769,53,1,5
html body text p span  ,"17. We can therefore expect a general decline in Europe's population, which it will not be possible to offset by fertility alone.",8,4010,769,35,1,5
html body text p i span  ,3.1.2. Fertility,8,4067,120,17,1,6
html body text p sup a span  ,2,128,4062,7,15,0,7
html body text p span  ,"18. The annual fertility rate in Europe is particularly low, although there are many geographical disparities. Europe is having to cope with an ageing population, and hence a shrinking work force, matched by an increase in the retired population.",8,4101,769,53,1,5
