tag,content,x,y,width,height,label,depth
html body text title span span  ,FOOD STANDARDS AGENCY,0,0,650,18,0,6
html body text table tbody tr td span  ,|,243,11,7,17,0,8
html body text table tbody tr td font a span  ,Help,250,13,31,15,0,10
html body text table tbody tr td font span  ,|,281,13,7,15,0,9
html body text table tbody tr td font a span  ,Site map,288,13,54,15,0,10
html body text table tbody tr td font span  ,|,342,13,7,15,0,9
html body text table tbody tr td font a span  ,Search,349,13,45,15,0,10
html body text table tbody tr td font span  ,|,394,13,7,15,0,9
html body text table tbody tr td font a span  ,Text links,401,13,57,15,0,10
html body text table tbody tr td font span  ,|,458,13,4,15,0,9
html body text table tbody tr td font span  ,Archive - MAFF,243,50,222,36,0,9
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font a span  ,Home,28,103,48,20,0,22
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font a span  ,Archive,28,124,60,20,0,22
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font span  ,•,22,145,12,36,0,21
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font b span  ,MAFF,48,153,50,20,0,22
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font a span  ,Dept of Health,48,182,115,20,0,22
html body text table tbody tr td table tbody tr td table tbody tr td table tbody tr td font a span  ,Scottish Executive,48,203,147,20,0,22
html body text table tbody tr td table tbody tr td font font span  ,"The information in the archive was published by MAFF, Department of Health and the Scottish Executive before April 1st 2000 when the Food Standards Agency was established.",243,103,360,33,1,14
html body text table tbody tr td table tbody tr td font font p b span  ,Advisory Committee on Novel Foods and Processes,243,237,352,41,1,16
html body text table tbody tr td table tbody tr td font font p b span  ,Evaluation of,243,297,118,20,1,16
html body text table tbody tr td table tbody tr td font font p b i span  ,Stevia rebaudiana,361,297,159,20,1,17
html body text table tbody tr td table tbody tr td font font p b span  ,Bertoni as a novel food,243,297,340,41,1,16
html body text table tbody tr td table tbody tr td font font p span  ,Dr F Campoli,243,377,106,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,DGIII/E/i,243,398,68,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,Rue de la Loi,243,419,106,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,B-1049 Brussels,243,440,132,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,Belgium,243,461,65,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,19 October 1998,474,500,134,20,1,15
html body text table tbody tr td table tbody tr td font font p span  ,Dear Mr Campoli,243,539,136,20,1,15
html body text table tbody tr td table tbody tr td font font p b span  ,Evaluation of,243,578,118,20,1,16
