tag,content,x,y,width,height,label,depth
html body text title span span  ,"Dark Age of Camelot News, Trailers, Screenshots, Previews, Reviews, Guides -- Dark Age of Camelot: Labyrinth of the Minotaur Vault",0,0,785,36,0,6
html body text div div div a span  ,IGN.com,0,0,64,17,0,8
html body text div div div span  ,|,64,0,7,17,0,7
html body text div div div a span  ,PC Games,71,0,72,17,0,8
html body text div div div span  ,|,143,0,7,17,0,7
html body text div div div a span  ,PS2,150,0,30,17,0,8
html body text div div div span  ,|,180,0,7,17,0,7
html body text div div div a span  ,PS3,187,0,30,17,0,8
html body text div div div span  ,|,217,0,7,17,0,7
html body text div div div a span  ,PSP,224,0,31,17,0,8
html body text div div div span  ,|,254,0,7,17,0,7
html body text div div div a span  ,Xbox,262,0,39,17,0,8
html body text div div div span  ,|,301,0,7,17,0,7
html body text div div div a span  ,Xbox 360,308,0,68,17,0,8
html body text div div div span  ,|,376,0,7,17,0,7
html body text div div div a span  ,GameCube,383,0,76,17,0,8
html body text div div div span  ,|,459,0,7,17,0,7
html body text div div div a span  ,Wii,466,0,28,17,0,8
html body text div div div span  ,|,494,0,7,17,0,7
html body text div div div a span  ,DS,501,0,24,17,0,8
html body text div div div span  ,|,525,0,7,17,0,7
html body text div div div a span  ,GBA,532,0,37,17,0,8
html body text div div div span  ,|,569,0,7,17,0,7
html body text div div div a span  ,Wireless,576,0,60,17,0,8
html body text div div div span  ,|,636,0,7,17,0,7
html body text div div div a span  ,FilePlanet,643,0,69,17,0,8
html body text div div div span  ,|,712,0,7,17,0,7
html body text div div div a span  ,Cheats,719,0,47,17,0,8
html body text div div div span  ,|,766,0,4,17,0,7
html body text div div div a span  ,Movies,0,18,52,17,0,8
html body text div div div span  ,|,52,18,7,17,0,7
html body text div div div a span  ,TV,59,18,25,17,0,8
html body text div div div span  ,|,84,18,7,17,0,7
html body text div div div a span  ,DVD,91,18,39,17,0,8
html body text div div div span  ,|,130,18,7,17,0,7
html body text div div div a span  ,Music,137,18,44,17,0,8
html body text div div div span  ,|,181,18,7,17,0,7
html body text div div div a span  ,Comics,188,18,53,17,0,8
html body text div div div span  ,|,241,18,7,17,0,7
