tag,content,x,y,width,height,label,depth
html body text div div span  ,Notify Blogger about objectionable content.,8,8,282,17,0,6
html body text div div a span  ,What does this mean?,8,26,141,17,0,7
html body text div div a span  ,Send via SMS,8,32,92,17,0,7
html body text div form div a span  ,BlogThis!,8,69,65,17,0,8
html body text div table tbody tr td div a span  ,Counter,8,103,34,10,0,11
html body text div div div div div div h1 a span  ,Effect Measure,8,134,208,36,1,12
html body text div div div div div div p span  ,Effect Measure is a forum for progressive public health discussion and argument as well as a source of public health information from around the web that interests the Editor(s),8,193,744,35,1,11
html body text div div div div div div div h2 span  ,"Tuesday, April 05, 2005",8,249,239,26,0,12
html body text div div div div div div div div h3 span  ,H7 in North Korea,8,296,151,21,1,13
html body text div div div div div div div div div div span  ,"Reports from Pyongyang, North Korea today seem to indicate that the unidentified bird flu strain afflicting North Korean poultry is of the H7, not H5, sub-type.",8,336,769,35,1,14
html body text div div div div div div div div div div a span  ,AP,331,354,27,17,1,15
html body text div div div div div div div div div div span  ,"says this has been confirmed by FAO, but",358,354,293,17,1,14
html body text div div div div div div div div div div a span  ,New Scientist,651,354,98,17,1,15
html body text div div div div div div div div div div span  ,"says evidence is ""indirect"" (according to a different FAO source), where ""indirect"" means the North Koreans prepared a vaccine from the sick birds and the vaccinated birds showed antibodies to H7.",8,354,769,53,1,14
html body text div div div div div div div div div div span  ,"If the infection is with H7 subtype this would seem to be good news as human cases with H7 have not been particularly severe. H7N2 has been reported in poultry in the US (Delaware) and H7N7 caused a large outbreak in poultry in 2003 in The Netherlands which jumped to humans. Most cases manifested as conjunctivitis (""pink eye"") and a small number (3) showed typical influenza-like symptoms (cough, fever, muscle aches). The only serious case involved a veterinarian who visited one of the farms and developed fatal respiratory distress syndrome.",8,426,769,89,1,14
