tag,content,x,y,width,height,label,depth
html body text title span span  ,Application management solutions with HP OpenView and BEA - HP Dev Resource Central,0,0,785,36,0,6
html body text table tbody tr td a span  ,Jump to content,0,0,47,53,0,9
html body text table tbody tr td table tbody tr td span  ,�,20,93,20,17,0,12
html body text table tbody tr td table tbody tr td a span  ,Contact HP,40,93,74,17,0,13
html body text table tbody tr td table tbody tr td form table tbody tr td label span  ,Search:,569,80,48,17,0,18
html body text table tbody tr td table tbody tr td form table tbody tr td div label span span  ,DRC,617,98,36,17,0,20
html body text table tbody tr td table tbody tr td form table tbody tr td div label span  ,All of HP US,653,98,86,17,0,19
html body text table tbody tr td h1 span  ,Application management solutions with HP OpenView and BEA,180,171,541,73,1,9
html body text table tbody tr td span  ,Notes from a presentation given at BEA dev2dev Days 2004.,180,267,391,17,1,8
html body text table tbody tr td table tbody tr td span  ,�,8,286,16,17,0,12
html body text table tbody tr td table tbody tr td h2 a span  ,Dev Resource Central,24,285,140,53,0,14
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,370,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Downloads index,26,369,112,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,389,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Topic index,26,388,76,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,26,408,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,HP OpenView,42,407,92,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,26,427,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,HP OpenCall,42,426,85,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,26,446,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Linux,42,445,38,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,465,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Ask the experts,26,464,100,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,484,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Explore management technologies,26,483,82,53,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,538,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Integration stories,26,537,116,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,557,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Forums,26,556,49,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,576,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Blogs,26,575,37,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td span  ,�,10,595,16,17,0,16
html body text table tbody tr td table tbody tr td table tbody tr td a span  ,Invent Online webcasts,26,594,88,35,0,17
