tag,content,x,y,width,height,label,depth
html body text table tbody tr td div font b span  ,Successful Deaf Leaders,135,11,285,27,1,11
html body text table tbody tr td p font b font font span  ,Overview,11,55,70,17,1,13
html body text table tbody tr td p font font span  ,"Students have the opportunity to learn about, meet, and pay tribute to local Deaf Leaders who exemplify the belief that deaf people can do anything except hear. Selecting leaders, they conduct videotaped interviews, transcribe tapes from American Sign Language to English, and use this information to write biographical sketches of each leader. Creating a computer slide show that includes their own photography, they add the information to a link on the school's web site. The entire school community honors the successful Deaf Leaders at a formal presentation where framed photos/biographical sketches are installed on the school's",11,55,532,161,1,11
html body text table tbody tr td p font font i span  ,Wall of Fame,66,199,90,17,1,12
html body text table tbody tr td p font font span  ,.,156,199,4,17,1,11
html body text table tbody tr td table tbody tr td div font b span  ,Classroom Activities,30,235,139,17,1,15
html body text table tbody tr td table tbody tr td div font b span  ,Community Activities,192,235,149,17,1,15
html body text table tbody tr td table tbody tr td div font b font span  ,Career Activities,387,235,114,17,1,16
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,256,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Brainstorm successful Deaf Leaders from various careers.,29,256,142,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,310,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font font span  ,E-mail project description & invite selected leaders to participate.,29,310,128,71,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,382,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Prepare for,29,382,76,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font a span  ,Interview,105,382,65,17,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,.,170,382,4,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,400,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Translate interview videotapes from ASL to English.,29,400,153,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,454,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Use,29,454,29,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font a span  ,graphic organizer,58,454,112,17,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,for bio sketches.,29,472,105,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,490,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Design,29,490,49,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font a span  ,computer slide presentation,29,490,144,35,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font font span  ,(or,111,508,19,17,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font font a span  ,download,29,526,67,17,1,19
html body text table tbody tr td table tbody tr td table tbody tr td font font span  ,", 9.78 MB)",96,526,74,17,1,18
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,.,170,526,4,17,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,544,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Enlarge leaders' photos & mount next to bio sketches.,29,544,148,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,598,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Decide on centrally located Wall of Fame site.,29,598,137,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,23,652,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Plan celebration honoring Successful Deaf Leaders.,29,652,130,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,197,256,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Schedule & conduct interviews at leaders' job sites.,203,256,134,53,1,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,•,197,310,6,17,0,17
html body text table tbody tr td table tbody tr td table tbody tr td font span  ,Videotape interviews & photograph leaders with 35mm & digital cameras.,203,310,139,71,1,17
