tag,content,x,y,width,height,label,depth
html body text div div a span  ,USCHO.com Fan Forum,8,8,164,17,0,7
html body text div div span  ,>,172,8,13,17,0,6
html body text div div a span  ,Community,185,8,81,17,0,7
html body text div div span  ,>,266,8,13,17,0,6
html body text div div a span  ,USCHO Cafe,279,8,92,17,0,7
html body text div div span  ,> la matière officielle de Le Tour de France,371,8,279,17,0,6
html body text div div a span  ,PDA,8,44,32,17,0,7
html body text div p span  ,View Full Version :,8,78,129,17,0,6
html body text div p a span  ,la matière officielle de Le Tour de France,137,78,265,17,0,7
html body text div div b span  ,Pages :,8,122,52,17,0,7
html body text div div span  ,[,60,122,10,17,0,6
html body text div div b span  ,1,70,122,12,17,0,7
html body text div div span  ,],82,122,9,17,0,6
html body text div div a span  ,2,91,122,12,17,0,7
html body text div div a span  ,3,103,122,12,17,0,7
html body text div div a span  ,4,115,122,12,17,0,7
html body text div div a span  ,5,127,122,12,17,0,7
html body text div div a span  ,6,139,122,12,17,0,7
html body text div div a span  ,7,151,122,12,17,0,7
html body text div div a span  ,8,163,122,12,17,0,7
html body text div div a span  ,9,175,122,12,17,0,7
html body text div div a span  ,10,187,122,20,17,0,7
html body text div div a span  ,11,207,122,20,17,0,7
html body text div div a span  ,12,226,122,20,17,0,7
html body text div div a span  ,13,246,122,20,17,0,7
html body text div div a span  ,14,266,122,20,17,0,7
html body text div div a span  ,15,286,122,20,17,0,7
html body text div div a span  ,16,306,122,20,17,0,7
html body text div div a span  ,17,326,122,20,17,0,7
html body text div div a span  ,18,346,122,20,17,0,7
html body text div div a span  ,19,366,122,20,17,0,7
html body text div div a span  ,20,386,122,20,17,0,7
html body text div div a span  ,21,406,122,20,17,0,7
html body text div div a span  ,22,426,122,20,17,0,7
html body text div div a span  ,23,446,122,20,17,0,7
html body text div div a span  ,24,466,122,20,17,0,7
html body text div div a span  ,25,486,122,20,17,0,7
html body text div div a span  ,26,506,122,20,17,0,7
html body text div div a span  ,27,526,122,20,17,0,7
