,tag,content,counts,link_next,link_prev,label
0,html body text title  ,从原子弹爆炸原理想开去 - 奇闻异事 - 雅虎社区,16,0,0,0
1,html body text div div a strong  ,登入,51,1,0,0
2,html body text div div span  ,新用户？,54,1,1,0
3,html body text div div a  ,[注册],57,1,1,0
4,html body text div div a  ,邮箱,63,1,1,0
5,html body text div div  ,|,64,1,1,0
6,html body text div div a  ,助手,66,1,1,0
7,html body text div div  ,|,67,1,1,0
8,html body text div div a  ,相册,69,1,1,0
9,html body text div div  ,|,70,1,1,0
10,html body text div div a  ,雅虎通,72,1,1,0
11,html body text div div div a  ,首页,79,1,1,0
12,html body text div div div a  ,资讯,82,1,1,0
13,html body text div div div a  ,知识,85,1,1,0
14,html body text div div div a  ,音乐,88,1,1,0
15,html body text div div div a  ,图片,91,1,1,0
16,html body text div div div a  ,酷贴,94,1,1,0
17,html body text div div div a  ,网址,97,1,1,0
18,html body text div div div a  ,更多...,100,0,1,0
19,html body text div div div form span select option  ,网页,117,1,0,0
20,html body text div div div form span select option  ,资讯,120,1,1,0
21,html body text div div div form span select option  ,知识,123,1,1,0
22,html body text div div div form span select option  ,音乐,126,1,1,0
23,html body text div div div form span select option  ,图片,129,1,1,0
24,html body text div div div form span select option  ,酷贴,132,0,1,0
25,html body text div div div div div form div  ,	,175,1,0,0
26,html body text div div div div div form div a  ,帮助,177,1,1,0
27,html body text div div div div div form div  ,				,178,1,1,0
28,html body text div div div div div form div a  ,社区地图,180,1,1,0
29,html body text div div div div div form div label  ,进入社区,187,1,1,0
30,html body text div div div div div form div  ,					,188,1,1,0
31,html body text div div div div div form div label  ,搜索帖子内容,194,1,1,0
32,html body text div div div div div form div  ,					,195,1,1,0
33,html body text div div div div div form div label  ,搜带图帖,199,0,1,0
34,html body text div div div div div a  ,社区首页,225,1,0,0
35,html body text div div div div div  ,>,226,1,1,0
36,html body text div div div div div a  ,社会探索,228,1,1,0
37,html body text div div div div div  ,&gt,229,1,1,0
38,html body text div div div div div a  ,奇闻异事,231,0,1,0
39,html body text div div div div table tr td table tr td a b  ,cjy52191,264,0,0,0
40,html body text div div div div table tr td table tr td span  ,级别：入学了,288,1,0,0
41,html body text div div div div table tr td table tr td span  ,积分：235,296,1,1,0
42,html body text div div div div table tr td table tr td a  ,看我还写了啥？,304,0,1,0
43,html body text div div div div table tr td table tr td span  ,我收藏的：,318,1,0,0
44,html body text div div div div table tr td table tr td a  ,图片,320,1,1,0
45,html body text div div div div table tr td table tr td a  ,音乐,323,0,1,0
46,html body text div div div div table tr td table tr td  ,从原子弹爆炸原理想开去,336,1,0,0
47,html body text div div div div table tr td table tr td span  ,2005-09-11 18:04:42,340,1,1,0
48,html body text div div div div table tr td table tr td  ,						,341,1,1,0
49,html body text div div div div table tr td table tr td span  ,楼主,343,1,1,0
50,html body text div div div div table tr td table tr td  ,							一个中子撞击铀原子时，铀原子变成了两三个中子，连锁反应发生了，这些获得动能的中子不停的分裂撞击铀原子，最后巨大的能量产生了。物质就是能量，但前提是必须施加外力，原子弹不可能自己转化成能量，毕竟需要撞击时候的先前力。于是很小的力就可以变成巨大的力，变成横扫大地的力，这也是有条件的，那就是物质本身的存在。不过宇宙中的能量又是从哪里来的？似乎宇宙本身就是物质和能量的转化过程的混合体。宇宙的开端可能是能量场，不用奇怪那些量子为何那么不稳定，也不用纳闷中微子是如何穿过你身体的，因为在你一出生就看到了物质世界，能量渐渐“冷却”而变成的物质，虽然这样，热力学原理还是告诉我们熵在增加，为什么呢？也许物质最终还是会把能量消耗至尽。呈现物质的分界线是光，在光以下是纯物质世界，在光以上是纯形式能量，光的二象性显示了它的分界特性，作为物质来说光速的确是最快的，因此“运动”这个概念只是对物质来说的，而对非物质来说，光速只是和冲击波和力产生前的效果，原子核便最终加速到产生了光，最后才有了质的变化，物质不见了，它们超越光速的瞬间变为了能量。E=M（C的平方）也只是光速运动的顶端，也就是说物质在以光速“运动时”，也是变成“能量时”，物质消失，能量无中升有了，要想把某物质加速到光速必定需要巨大的力量，这些力量是首先借助于物质与力（物体具有能量不代表本身就是能量），当达到光速最后连带物质也变为了能量，当然这仅仅是物理现象。,352,1,1,1
51,html body text div div div div table tr td table tr td  ,我们都知道力是可以传递的，但却不知道力是从哪里来，要想物质具有能量就必须要有力，力使物质运动，物质在运动中会具备能量，如果间发生碰撞，就会把突然停下物质的能量以力的方式施加于另一方，使另一物质吸收前物质的能量，以此类推，这种碰撞不仅是能量的传递，也是力的传递，物质在运动中带能量，停下就带力。不过恒力的产生必须要有能量源，这样的解释可以用在太阳系和黑洞中。如果你的手打以某速度打向某一物体，这个物体阻碍了你手部运动的路线并且不能再前进时，你就感到力的存在。而万有引力告诉我们物质的存在是为了吸引其他物质，太阳的存在使地球具有了能量，而地球的存在使月球具有了能量，不过这是反作用力的效果，因为促使星球运动的是吸引力，这就象黑洞的能量维持必须依靠物质和产生吸引力来“吞食”物质，于是黑洞的能量和吸力就越强。也许黑洞里早已经不存在物质，而是能量源，但和原子弹不同，它从不发射力。物质都跑哪里去了？不用担心，因为它们总能无中生有，也许可以解释为大爆炸（奇点），是物质的诞生而不是终结。这才有了物质和能量的循环，我们不禁想问，宇宙有起点吗或宇宙有终点吗？但这些问题毫无意义，因为世界本身就一直处在循环中。平衡的折损与完整的打破就会被循环来代替，阴阳图也恰好说明了这点，阴代表能量，阳代表物质。这是宇宙平衡被打破的表现，它们似乎对立，又似乎是统一，当对立时就会有冲突和无序产生，当统一时则相容又和谐。不过，能量和物质最初从未发生过结合，它们是各自的独立体，表现为具体和抽象，但有没有具体与抽象同在的东西，没有任何东西可被代替，这是因为在宇宙中只有生命才有这一特性，也是唯一具有这一特性的物质。,356,1,1,1
