,tag,content,counts,link_next,link_prev,label
0,html body text title  ,投身外交(3)_读书频道_新浪网,8,0,0,0
1,html body text center table tr td table tr td a  ,新浪首页,106,1,0,0
2,html body text center table tr td table tr td  ,>,107,1,1,0
3,html body text center table tr td table tr td a  ,读书频道,109,1,1,0
4,html body text center table tr td table tr td  ,> >,110,1,1,0
5,html body text center table tr td table tr td a  ,乔冠华才情人生,112,1,1,0
6,html body text center table tr td table tr td  ,> 正文,113,0,1,0
7,html body text center div table tr td div table tr td font b  ,投身外交(3),149,0,0,1
8,html body text center div table tr td div table tr td  ,罗银胜,160,1,0,0
9,html body text center div table tr td div table tr td b  ,连载：,167,1,1,0
10,html body text center div table tr td div table tr td b a  ,乔冠华才情人生,169,1,1,0
11,html body text center div table tr td div table tr td b  ,出版社：团结出版社 作者：,170,1,1,0
12,html body text center div table tr td div table tr td b a  ,罗银胜,172,0,1,0
13,html body text center div table tr td div table tr td font p a font  ,立刻注册新浪免费邮箱，激活1G空间,183,0,0,0
14,html body text center div table tr td div table tr td font p  ,对外宣传，也是乔冠华开国之初外交生涯的组成部分。中央人民政府政务院成立后，下设新闻总署，首任署长是胡乔木，其国际新闻局局长由乔冠 华兼任，副局长为刘尊棋，秘书长为冯亦代，萧乾在英文组，徐迟、戴望舒在法文组。起初 工作人员不多，而这些人员中的大多数是由乔冠华亲自挑选的。,197,1,0,1
15,html body text center div table tr td div table tr td font p  ,国际新闻局开张伊始，就酝酿创办对外宣扬刊物《人民中国》。萧乾是这份刊物的元老,199,0,1,1
