,tag,content,counts,link_next,link_prev,label
0,html body text title  ,娱乐圈受黑社会控制？ 明星挨打事件回顾(图),10,0,0,0
1,html body text div div a  ,邮箱,61,1,0,0
2,html body text div div  ,|,62,1,1,0
3,html body text div div a  ,相册,64,1,1,0
4,html body text div div  ,|,65,1,1,0
5,html body text div div a  ,助手,67,1,1,0
6,html body text div div  ,|,68,1,1,0
7,html body text div div a  ,雅虎通,70,1,1,0
8,html body text div div  ,|,71,1,1,0
9,html body text div div a  ,社区,73,1,1,0
10,html body text div div div a  ,首页,80,1,1,0
11,html body text div div div a  ,资讯,83,1,1,0
12,html body text div div div a  ,知识,86,1,1,0
13,html body text div div div a  ,音乐,89,1,1,0
14,html body text div div div a  ,图片,92,1,1,0
15,html body text div div div a  ,网址,95,1,1,0
16,html body text div div div a  ,更多...,98,0,1,0
17,html body text div div div form span select option  ,网页,115,1,0,0
18,html body text div div div form span select option  ,资讯,118,1,1,0
19,html body text div div div form span select option  ,音乐,121,1,1,0
20,html body text div div div form span select option  ,知识,124,1,1,0
21,html body text div div div form span select option  ,图片,127,0,1,0
22,html body text div div a  ,资讯首页,144,1,0,0
23,html body text div div  ,|,145,1,1,0
24,html body text div div a  ,财经,147,1,1,0
25,html body text div div  ,|,148,1,1,0
26,html body text div div a  ,体育,150,1,1,0
27,html body text div div  ,|,151,1,1,0
28,html body text div div a  ,娱乐,153,1,1,0
29,html body text div div  ,|,154,1,1,0
30,html body text div div a  ,汽车,156,1,1,0
31,html body text div div  ,|,157,1,1,0
32,html body text div div a  ,房产,159,1,1,0
33,html body text div div  ,|,160,1,1,0
34,html body text div div a  ,数码,162,1,1,0
35,html body text div div  ,|,163,1,1,0
36,html body text div div a  ,访谈,165,1,1,0
37,html body text div div  ,|,166,1,1,0
38,html body text div div a  ,社区,168,1,1,0
39,html body text div div  ,|,169,1,1,0
40,html body text div div a  ,淘宝,171,1,1,0
41,html body text div div  ,|,172,1,1,0
42,html body text div div a  ,职场,174,0,1,0
43,html body text div table tr td  ,娱乐首页,198,1,0,0
44,html body text div table tr td a  ,明星,204,1,1,0
45,html body text div table tr td a  ,电影,210,1,1,0
46,html body text div table tr td a  ,音乐,216,1,1,0
47,html body text div table tr td a  ,电视,222,1,1,0
48,html body text div table tr td a  ,综艺,228,1,1,0
49,html body text div table tr td a  ,视听,234,1,1,0
50,html body text div table tr td a  ,幻灯,240,1,1,0
51,html body text div table tr td a  ,论坛,246,1,1,0
52,html body text div table tr td a  ,游戏,252,1,1,0
53,html body text div table tr td a  ,笑话,258,1,1,0
54,html body text div table tr td a  ,时尚,264,1,1,0
55,html body text div table tr td a  ,星座,270,1,1,0
56,html body text div table tr td a  ,旅游,276,0,1,0
57,html body text div table tr td table tr td a  ,[试听]张靓颖《天下无双》,315,1,0,0
58,html body text div table tr td table tr td a  ,[视频]《冰河世纪2：消融》预告片,324,0,1,0
59,html body text div table tr td  ,·,350,1,0,0
60,html body text div table tr td a  ,娱乐幻灯,352,1,1,0
61,html body text div table tr td  ,·,353,1,1,0
62,html body text div table tr td a  ,在线影院,355,1,1,0
63,html body text div table tr td  ,·,356,1,1,0
64,html body text div table tr td a  ,碟探快报,358,1,1,0
65,html body text div table tr td  ,·,359,1,1,0
66,html body text div table tr td a  ,电视剧照,361,1,1,0
67,html body text div table tr td  ,·,362,1,1,0
68,html body text div table tr td a  ,演出剧照,364,0,1,0
69,html body text div div table tr td div  ,娱乐圈受黑社会控制？ 明星挨打事件回顾(图),386,1,0,1
70,html body text div div table tr td  ,2005-04-27 14:32更新 来源：千龙新闻网,394,1,1,0
71,html body text div div table tr td a  ,发表评论,398,0,1,0
72,html body text div div table tr td b  ,今,409,1,0,0
73,html body text div div table tr td b  ,日,411,1,1,0
74,html body text div div table tr td b  ,推,413,1,1,0
75,html body text div div table tr td b  ,荐,415,1,1,0
76,html body text div div table tr td a  ,征集现场观众 和“搜星”一起过五一,424,1,1,0
77,html body text div div table tr td a  ,吴君如早产诞下女婴 肥嘟嘟像陈可辛,428,1,1,0
78,html body text div div table tr td a  ,陈慧琳戴千万钻饰变身幸福公主,432,1,1,0
79,html body text div div table tr td a  ,凯蒂为汤姆生下一女 取名苏里,436,1,1,0
80,html body text div div table tr td a  ,蔡依林新专辑造型曝光 大秀瑜伽,446,1,1,0
81,html body text div div table tr td a  ,李嘉欣不如靠自己 知心伴侣难找,450,1,1,0
82,html body text div div table tr td a  ,斯皮尔伯格献计 多建影院多写好故事,454,1,1,0
83,html body text div div table tr td a  ,张艺谋全力奔奥运 新谋女郎羞涩现身,458,1,1,0
84,html body text div div p  ,近日，惊爆台湾本土天王吴宗宪被打，娱乐圈被打事件频频发生。涉及赌债，感情纠葛，原因种种。然港台明星被打时间频繁发生的背后，让我们惊骇黑色会涉圈之深。让我们回顾一下众明星被打事件：,463,0,1,1
85,html body text div div table tr td table tr td table tr td  ,·,509,1,0,0
86,html body text div div table tr td table tr td table tr td nobr a  ,医疗关注--前列腺新发现,517,1,1,0
87,html body text div div table tr td table tr td table tr td  ,·,522,1,1,0
88,html body text div div table tr td table tr td table tr td nobr a  ,皮肤顽疾----康复圣地,530,0,1,0
89,html body text div div table tr td table tr td table tr td  ,·,543,1,0,0
90,html body text div div table tr td table tr td table tr td nobr a  ,国际认证：专治口臭、溃疡,551,1,1,0
91,html body text div div table tr td table tr td table tr td  ,·,556,1,1,0
92,html body text div div table tr td table tr td table tr td nobr a  ,★07男人--补肾新药（图）,564,0,1,0
93,html body text div div p  ,宪哥被打成“猪头”,576,1,0,1
94,html body text div div p  ,2005年4月18日吴宗宪进棚录像，凌晨收班后，于2、3点在忠孝东路一带餐厅用餐，出来的时候在忠孝东路216巷附近，突然被4、5名不明人士殴打，随即立刻送到国泰医院救治，就当前了解，吴宗宪伤势并不严重，之后立刻报警备案。据悉，他的头部缝了9针，送到医院时眼部淤血，衣着不整，神情十分狼狈。详情,579,1,1,1
95,html body text div div p  ,整容手术后，露面说案情,584,1,1,1
96,html body text div div p  ,2004年6月，艺人贺一航也传出疑因欠下赌债及惹了大哥女人而遭痛殴，外界众说纷纭，但贺一航在基隆长庚医院接受整容手术后，露脸向媒体说明一切。贺一航说他不知道打他的人是谁，不过可能和他拒拍某广告，以及价钱谈不拢有关。,587,1,1,1
97,html body text div div p  ,涉嫌殴打陈冠希的两名少年被警方带走,592,1,1,1
98,html body text div div p  ,陈冠希2004年3月15日，于香港地区中环一间商场内遭两名外籍青年挑衅，而遭挥拳殴打，双方在中环区展开近半小时的追逐战，最后陈冠希致电经理人公司求救，由赶至现场协助的公司职员成功截获打人的两名青年，交当地警方处理。陈冠希被打后面部受伤，包括颧骨、耳背等位置均被打至红肿。,595,1,1,1
99,html body text div div p  ,杨恭如遇袭后首露面,600,1,1,1
