,tag,content,counts,link_next,link_prev,label
0,html body text title  ,四年前中500万现穷困潦倒 一夜暴富后如何经营__商贸_产业资讯_新浪网,10,0,0,0
1,html body text center table tr td a font  ,sina.net,28,1,0,0
2,html body text center table tr td table tr td a  ,企业服务首页,37,1,1,0
3,html body text center table tr td table tr td  ,|,39,1,1,0
4,html body text center table tr td table tr td a  ,产业资讯,42,1,1,0
5,html body text center table tr td table tr td  ,|,44,1,1,0
6,html body text center table tr td table tr td a  ,企业短信,47,1,1,0
7,html body text center table tr td table tr td  ,|,49,1,1,0
8,html body text center table tr td table tr td a  ,企业黄页,52,1,1,0
9,html body text center table tr td table tr td  ,|,54,1,1,0
10,html body text center table tr td table tr td a  ,企业邮箱,57,1,1,0
11,html body text center table tr td table tr td  ,|,59,1,1,0
12,html body text center table tr td table tr td a  ,搜索排名,62,1,1,0
13,html body text center table tr td table tr td  ,|,64,1,1,0
14,html body text center table tr td table tr td a  ,招商投资,67,1,1,0
15,html body text center table tr td table tr td  ,|,69,1,1,0
16,html body text center table tr td table tr td a  ,城市联盟,72,0,1,0
17,html body text center table tr td font a  ,企业服务首页,95,1,0,0
18,html body text center table tr td font  ,>,96,1,1,0
19,html body text center table tr td font a  ,产经资讯,98,1,1,0
20,html body text center table tr td font  ,>,99,1,1,0
21,html body text center table tr td font a  ,商贸,101,1,1,0
22,html body text center table tr td font  ,>,102,1,1,0
23,html body text center table tr td font  ,>,104,1,1,0
24,html body text center table tr td font a font  ,点击财富专题,107,1,1,0
25,html body text center table tr td font  ,> 正文,108,0,1,0
26,html body text center table tr td table tr th font  ,四年前中500万现穷困潦倒 一夜暴富后如何经营,137,1,0,1
27,html body text center table tr td table tr td  ,http://www.sina.net 2005年03月21日 11:21,146,1,1,0
28,html body text center table tr td table tr td font  ,《理财周刊》,148,0,1,0
29,html body text center table tr td table tr td center table tr td p  ,人生如戏。一夜之间，它可以让一个穷光蛋成为百万富翁，同样也可以让一个百万富翁变回为穷光蛋。只不过，让这样的人生大喜大悲集中在一个人的身上似乎残酷了些，几率或许也很低，像中彩票。,168,1,0,1
30,html body text center table tr td table tr td center table tr td p  ,是的，正是彩票让本文的主人公孙启勤在短短4年间经历了一场浓缩的人生戏剧。2001年农历除夕夜，身陷几十万元债务纠葛的南通一乡镇卫生院的医生孙启勤意外地获得了5,171,0,1,1
31,html body text center table tr td table tr td center table tr td  ,00万元的体彩大奖，成为让无数人羡慕不已的幸运儿；然而4年后的今天，他不仅数百万元资金被消耗一空，遭遇了亲情的背离，自己还身患癌症，人生的不幸让人们唏嘘不已。,184,1,0,1
32,html body text center table tr td table tr td center table tr td p  ,为何财富之神对他眷顾又抛弃？近日，本刊记者经历了近4个小时的车程赶赴南通海安县，与这位传奇人物面对面地交谈时，他感慨万千地说：“老天爷和我开了个不大不小的玩笑……”,186,1,1,1
33,html body text center table tr td table tr td center table tr td p  ,除夕夜买彩神奇中大奖,189,1,1,1
34,html body text center table tr td table tr td center table tr td p  ,3月 5日，我们来到孙启勤的“虬泓山庄”采访时，正是春季里一场突如其来的寒流来临，一路上行人稀少，让这个地处偏僻的农庄愈发显得冷清。颇有些寒意的风穿越1米多高的树苗，无遮无拦地吹到脸上有些生疼，正在河边洗青菜的孙启勤见到我们，擦擦湿漉漉的手，将我们引进他的办公室。,192,1,1,1
