,tag,content,counts,link_next,link_prev,label
0,html body text title  ,svfromlk的个人主页_网易部落,10,0,0,0
1,html body text div div form li  ,EMAIL：,45,1,0,0
2,html body text div div form li  ,密码：,47,0,1,0
3,html body text div div ul li a  ,部落地图,70,1,0,0
4,html body text div div ul li a  ,快速帮助,75,0,1,0
5,html body text div div h1 a  ,svfromlk的个人主页,87,1,0,0
6,html body text div div span  ,(个性域名: 	,90,1,1,0
7,html body text div div span a  ,点击申请,92,1,1,0
8,html body text div div span  ,),93,0,1,0
9,html body text div div a  ,home,107,1,0,0
10,html body text div div  ,| 	,108,1,1,0
11,html body text div div a  ,全部文章,110,0,1,0
12,html body text div div div div a  ,svfromlk@-Hqok,132,1,0,0
13,html body text div div div div a  ,发表文章,140,1,1,0
14,html body text div div div div  ,| 		,141,1,1,0
15,html body text div div div div a  ,发纸条,143,1,1,0
16,html body text div div div div  ,| 		,144,1,1,0
17,html body text div div div div a  ,加好友,146,1,1,0
18,html body text div div div div  ,部落系统公告,154,1,1,0
19,html body text div div div div ul li a  ,新版网易博客亮相,162,0,1,0
20,html body text div div div div a  ,<,175,1,0,0
21,html body text div div div div span  ,2006年11月,178,1,1,0
22,html body text div div div div a  ,>,181,1,1,0
23,html body text div div div table tr td  ,日,189,1,1,0
24,html body text div div div table tr td  ,一,192,1,1,0
25,html body text div div div table tr td  ,二,195,1,1,0
26,html body text div div div table tr td  ,三,198,1,1,0
27,html body text div div div table tr td  ,四,201,1,1,0
28,html body text div div div table tr td  ,五,204,1,1,0
29,html body text div div div table tr td  ,六,207,0,1,0
30,html body text div div div table tbody tr td  ,01,224,1,0,0
31,html body text div div div table tbody tr td  ,02,227,1,1,0
32,html body text div div div table tbody tr td  ,03,230,1,1,0
33,html body text div div div table tbody tr td  ,04,233,1,1,0
34,html body text div div div table tbody tr td  ,05,237,1,1,0
35,html body text div div div table tbody tr td  ,06,240,1,1,0
36,html body text div div div table tbody tr td  ,07,243,1,1,0
37,html body text div div div table tbody tr td  ,08,246,1,1,0
38,html body text div div div table tbody tr td  ,09,249,1,1,0
39,html body text div div div table tbody tr td  ,10,252,1,1,0
40,html body text div div div table tbody tr td  ,11,255,1,1,0
41,html body text div div div table tbody tr td  ,12,259,1,1,0
42,html body text div div div table tbody tr td  ,13,262,1,1,0
43,html body text div div div table tbody tr td  ,14,265,1,1,0
44,html body text div div div table tbody tr td  ,15,268,1,1,0
45,html body text div div div table tbody tr td  ,16,271,1,1,0
46,html body text div div div table tbody tr td  ,17,274,1,1,0
47,html body text div div div table tbody tr td  ,18,277,1,1,0
48,html body text div div div table tbody tr td  ,19,281,1,1,0
49,html body text div div div table tbody tr td  ,20,284,1,1,0
50,html body text div div div table tbody tr td  ,21,287,1,1,0
51,html body text div div div table tbody tr td  ,22,290,1,1,0
52,html body text div div div table tbody tr td  ,23,293,1,1,0
53,html body text div div div table tbody tr td  ,24,296,1,1,0
54,html body text div div div table tbody tr td  ,25,299,1,1,0
55,html body text div div div table tbody tr td  ,26,303,1,1,0
56,html body text div div div table tbody tr td  ,27,306,1,1,0
57,html body text div div div table tbody tr td  ,28,309,1,1,0
58,html body text div div div table tbody tr td  ,29,312,1,1,0
59,html body text div div div table tbody tr td  ,30,315,1,1,0
60,html body text div div div table tbody tr td  ,01,324,1,1,0
61,html body text div div div table tbody tr td  ,02,327,1,1,0
62,html body text div div div table tbody tr td  ,03,330,1,1,0
63,html body text div div div table tbody tr td  ,04,333,1,1,0
64,html body text div div div table tbody tr td  ,05,336,1,1,0
65,html body text div div div table tbody tr td  ,06,339,1,1,0
66,html body text div div div table tbody tr td  ,07,342,1,1,0
67,html body text div div div table tbody tr td  ,08,346,1,1,0
68,html body text div div div table tbody tr td  ,09,349,1,1,0
69,html body text div div div table tbody tr td  ,10,352,1,1,0
70,html body text div div div table tbody tr td  ,11,355,1,1,0
71,html body text div div div table tbody tr td  ,12,358,1,1,0
72,html body text div div div table tbody tr td  ,13,361,1,1,0
73,html body text div div div table tbody tr td  ,14,364,1,1,0
74,html body text div div div table tbody tr td  ,15,368,1,1,0
75,html body text div div div table tbody tr td  ,16,371,1,1,0
76,html body text div div div table tbody tr td  ,17,374,1,1,0
77,html body text div div div table tbody tr td  ,18,377,1,1,0
78,html body text div div div table tbody tr td  ,19,380,1,1,0
79,html body text div div div table tbody tr td  ,20,383,1,1,0
80,html body text div div div table tbody tr td  ,21,386,1,1,0
81,html body text div div div table tbody tr td  ,22,390,1,1,0
82,html body text div div div table tbody tr td  ,23,393,1,1,0
83,html body text div div div table tbody tr td  ,24,396,1,1,0
84,html body text div div div table tbody tr td  ,25,399,1,1,0
85,html body text div div div table tbody tr td  ,26,402,1,1,0
86,html body text div div div table tbody tr td  ,27,405,1,1,0
87,html body text div div div table tbody tr td  ,28,408,1,1,0
88,html body text div div div table tbody tr td  ,29,412,1,1,0
89,html body text div div div table tbody tr td  ,30,415,1,1,0
90,html body text div div div table tbody tr td  ,31,418,0,1,0
91,html body text div div div table tbody tr td  ,01,442,1,0,0
92,html body text div div div table tbody tr td  ,02,445,1,1,0
93,html body text div div div table tbody tr td  ,03,449,1,1,0
94,html body text div div div table tbody tr td  ,04,452,1,1,0
95,html body text div div div table tbody tr td  ,05,455,1,1,0
96,html body text div div div table tbody tr td  ,06,458,1,1,0
97,html body text div div div table tbody tr td  ,07,461,1,1,0
98,html body text div div div table tbody tr td  ,08,464,1,1,0
99,html body text div div div table tbody tr td  ,09,467,1,1,0
100,html body text div div div table tbody tr td  ,10,471,1,1,0
101,html body text div div div table tbody tr td  ,11,474,1,1,0
102,html body text div div div table tbody tr td  ,12,477,1,1,0
103,html body text div div div table tbody tr td  ,13,480,1,1,0
104,html body text div div div table tbody tr td  ,14,483,1,1,0
105,html body text div div div table tbody tr td  ,15,486,1,1,0
106,html body text div div div table tbody tr td  ,16,489,1,1,0
107,html body text div div div table tbody tr td  ,17,493,1,1,0
108,html body text div div div table tbody tr td  ,18,496,1,1,0
109,html body text div div div table tbody tr td  ,19,499,1,1,0
110,html body text div div div table tbody tr td  ,20,502,1,1,0
111,html body text div div div table tbody tr td  ,21,505,1,1,0
112,html body text div div div table tbody tr td  ,22,508,1,1,0
113,html body text div div div table tbody tr td  ,23,511,1,1,0
114,html body text div div div table tbody tr td  ,24,515,1,1,0
115,html body text div div div table tbody tr td  ,25,518,1,1,0
116,html body text div div div table tbody tr td  ,26,521,1,1,0
117,html body text div div div table tbody tr td  ,27,524,1,1,0
118,html body text div div div table tbody tr td  ,28,527,1,1,0
119,html body text div div div table tbody tr td  ,29,530,1,1,0
120,html body text div div div table tbody tr td  ,30,533,0,1,0
121,html body text div div div div  ,自做风格,544,1,0,0
122,html body text div div div div ul li  ,还没有风格上市！,550,0,1,0
123,html body text div div div div  ,最新留言 	,579,1,0,0
124,html body text div div div div ul  ,发表你对,587,1,1,0
125,html body text div div div div ul a strong  ,svfromlk,590,1,1,0
126,html body text div div div div ul  ,的留言：,591,0,1,0
127,html body text div div div div  ,自定义链接,610,1,0,0
128,html body text div div div div ul li  ,还没有设置自定义链接！,616,1,1,0
129,html body text div div div div  ,最新评论,624,1,1,0
130,html body text div div div div ul li a  ,社会太不好了 [img][/img,631,1,1,0
131,html body text div div div div  ,统计数据,639,1,1,0
132,html body text div div div div ul li  ,总访问量:,645,1,1,0
133,html body text div div div div ul li a  ,-1,647,1,1,0
134,html body text div div div div  ,文章搜索,655,0,1,0
135,html body text div div div h2 a  ,不孝子的一封求助信,677,1,0,1
136,html body text div div div  ,【回复 abcd_a 】:【回复 孙律师 】:【回复 old-pop 】:【回复 happy_zm 】:【回复 wang0chu 】:【回复  】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 lichanghe200 】:【回复 ilove 】:【回复 孔善广 】:【回复 li,680,0,1,1
137,html body text div div div span a  ,评论,691,1,0,0
138,html body text div div div a  ,查看全文,696,1,1,0
139,html body text div div div  ,|,697,1,1,0
140,html body text div div div  ,2005-08-19 22:20 | (查看,699,1,1,0
141,html body text div div div a  ,-1,701,1,1,0
142,html body text div div div  ,次) | (回复,702,1,1,0
143,html body text div div div a  ,-1,704,1,1,0
144,html body text div div div  ,条),705,1,1,0
145,html body text div div div h2 a  ,不孝子的一封求助信,710,1,1,1
146,html body text div div div  ,【回复 abcd_a 】:【回复 孙律师 】:【回复 old-pop 】:【回复 happy_zm 】:【回复 wang0chu 】:【回复  】:【回复 bizman 】:【回,713,0,1,1
147,html body text div div div span a  ,评论,724,1,0,0
148,html body text div div div a  ,查看全文,729,1,1,0
149,html body text div div div  ,|,730,1,1,0
150,html body text div div div  ,2005-08-19 22:19 | (查看,732,1,1,0
151,html body text div div div a  ,-1,734,1,1,0
152,html body text div div div  ,次) | (回复,735,1,1,0
153,html body text div div div a  ,-1,737,1,1,0
154,html body text div div div  ,条),738,1,1,0
155,html body text div div div h2 a  ,不孝子的一封求助信,743,1,1,1
156,html body text div div div  ,【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 lichanghe200 】:【回复 ilove 】:【回复 孔善广 】:【回复 lifter16888 】:【回复 quentin_wm 】:【回复 wwwwww139 】:【回复 破剑 】:【回复 xgl_86 】:不孝子的一封求助信&,746,0,1,1
157,html body text div div div span a  ,评论,757,1,0,0
158,html body text div div div a  ,查看全文,762,1,1,0
159,html body text div div div  ,|,763,1,1,0
160,html body text div div div  ,2005-08-19 22:13 | (查看,765,1,1,0
161,html body text div div div a  ,-1,767,1,1,0
162,html body text div div div  ,次) | (回复,768,1,1,0
163,html body text div div div a  ,-1,770,1,1,0
164,html body text div div div  ,条),771,1,1,0
165,html body text div div div h2 a  ,不孝子的一封求助信,776,1,1,1
166,html body text div div div  ,【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 bizman 】:【回复 lichanghe200 】:【回复 ilove 】:【回复 孔善广 】:【回复 lifter16888 】:【回复 quentin_wm 】:【回复 wwwwww139 】:【回复 破剑 】:【回复 xgl_86 】:不孝子的一封求助信?,779,0,1,1
167,html body text div div div span a  ,评论,790,1,0,0
168,html body text div div div a  ,查看全文,795,1,1,0
169,html body text div div div  ,|,796,1,1,0
170,html body text div div div  ,2005-08-19 22:12 | (查看,798,1,1,0
171,html body text div div div a  ,-1,800,1,1,0
172,html body text div div div  ,次) | (回复,801,1,1,0
173,html body text div div div a  ,-1,803,1,1,0
174,html body text div div div  ,条),804,1,1,0
175,html body text div div div h2 a  ,不孝子的一封求助信,809,1,1,1
176,html body text div div div  ,不孝子的一封求助信 各位朋友：&lt;BR&gt;大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月,812,0,1,1
177,html body text div div div span a  ,评论,823,1,0,0
178,html body text div div div a  ,查看全文,828,1,1,0
179,html body text div div div  ,|,829,1,1,0
180,html body text div div div  ,2005-08-19 21:55 | (查看,831,1,1,0
181,html body text div div div a  ,-1,833,1,1,0
182,html body text div div div  ,次) | (回复,834,1,1,0
183,html body text div div div a  ,-1,836,1,1,0
184,html body text div div div  ,条),837,1,1,0
185,html body text div div div h2 a  ,不孝子的一封求助信,842,1,1,1
186,html body text div div div  ,各位朋友：&lt;BR&gt;大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月的时间里，除了失去父亲的,845,0,1,1
187,html body text div div div span a  ,评论,856,1,0,0
188,html body text div div div a  ,查看全文,861,1,1,0
189,html body text div div div  ,|,862,1,1,0
190,html body text div div div  ,2005-08-19 21:48 | (查看,864,1,1,0
191,html body text div div div a  ,-1,866,1,1,0
192,html body text div div div  ,次) | (回复,867,1,1,0
193,html body text div div div a  ,-1,869,1,1,0
194,html body text div div div  ,条),870,1,1,0
195,html body text div div div h2 a  ,不孝子的一封求助信,875,1,1,1
196,html body text div div div  ,各位朋友：&lt;BR&gt;大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月的时间里，除了失去父亲的悲痛，还有在与医院交涉的过程中遭遇的困难和阻力，也真正目睹了医疗行业的不正之风和暴利黑幕，更感受到了普通老百姓生活不易、有病难医?,878,0,1,1
197,html body text div div div span a  ,评论,889,1,0,0
198,html body text div div div a  ,查看全文,894,1,1,0
199,html body text div div div  ,|,895,1,1,0
200,html body text div div div  ,2005-08-19 21:39 | (查看,897,1,1,0
201,html body text div div div a  ,-1,899,1,1,0
202,html body text div div div  ,次) | (回复,900,1,1,0
203,html body text div div div a  ,-1,902,1,1,0
204,html body text div div div  ,条),903,1,1,0
205,html body text div div div h2 a  ,不孝子的一封求助信,908,1,1,1
206,html body text div div div  ,各位朋友：,911,1,1,1
207,html body text div div div  ,大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月的时间里，除了失去父亲的悲痛，还有在与医院交涉的过程中遭遇的困难和阻力，也真正目睹了医疗行业的不正之风和暴利黑幕，更感受到了普通老百姓生活不易、有病难医、有医无?,913,0,1,1
208,html body text div div div span a  ,评论,924,1,0,0
209,html body text div div div a  ,查看全文,929,1,1,0
210,html body text div div div  ,|,930,1,1,0
211,html body text div div div  ,2005-08-19 21:38 | (查看,932,1,1,0
212,html body text div div div a  ,-1,934,1,1,0
213,html body text div div div  ,次) | (回复,935,1,1,0
214,html body text div div div a  ,-1,937,1,1,0
215,html body text div div div  ,条),938,1,1,0
216,html body text div div div h2 a  ,不孝子的一封求助信,943,1,1,1
217,html body text div div div  ,各位朋友：大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月的时间里，除了失去父亲的悲痛，还有在与医院交涉的过程中遭遇的困难和阻力，也真正目睹了医疗行业的不正之风和暴利黑幕，更感受到了普通老百姓生活不易、有病难医、有医无安全感的难?,946,0,1,1
218,html body text div div div span a  ,评论,957,1,0,0
219,html body text div div div a  ,查看全文,962,1,1,0
220,html body text div div div  ,|,963,1,1,0
221,html body text div div div  ,2005-08-19 21:33 | (查看,965,1,1,0
222,html body text div div div a  ,-1,967,1,1,0
223,html body text div div div  ,次) | (回复,968,1,1,0
224,html body text div div div a  ,-1,970,1,1,0
225,html body text div div div  ,条),971,1,1,0
226,html body text div div div h2 a  ,不孝子的一封求助信,976,1,1,1
227,html body text div div div  ,各位朋友： 大家好，真不知道该从何说起，也不知该怎样说，才能表达我的感受，因为近四个月的时间里，除了失去父亲的悲痛，还有在与医院交涉的过程中遭遇的困难和阻力，也真正目睹了医疗行业的不正之风和暴利黑幕，更感受到了普通老百姓生活不易、有病难医,979,0,1,1
228,html body text div div div span a  ,评论,990,1,0,0
229,html body text div div div a  ,查看全文,995,1,1,0
230,html body text div div div  ,|,996,1,1,0
231,html body text div div div  ,2005-08-19 21:30 | (查看,998,1,1,0
232,html body text div div div a  ,-1,1000,1,1,0
233,html body text div div div  ,次) | (回复,1001,1,1,0
234,html body text div div div a  ,-1,1003,1,1,0
235,html body text div div div  ,条),1004,1,1,0
236,html body text div div div  ,			,1007,1,1,0
237,html body text div div div a  ,下一页,1009,1,1,0
238,html body text div div div  ,跳到第,1012,1,1,0
239,html body text div div div  ,页,1014,1,1,0
240,html body text div div div a  ,全部文章,1016,1,1,0
241,html body text div div div  ,（文章列表） 	,1017,0,1,0
242,html body text div a  ,请使用IE5.5以上版本的浏览器访问,1031,1,0,0
243,html body text div a  ,About NetEase,1035,1,1,0
244,html body text div  ,-,1036,1,1,0
245,html body text div a  ,公司简介,1038,1,1,0
246,html body text div  ,-,1039,1,1,0
247,html body text div a  ,联系方法,1041,1,1,0
248,html body text div  ,-,1042,1,1,0
249,html body text div a  ,招聘信息,1044,1,1,0
250,html body text div  ,-,1045,1,1,0
251,html body text div a  ,客户服务,1047,1,1,0
252,html body text div  ,-,1048,1,1,0
253,html body text div a  ,相关法律,1050,1,1,0
254,html body text div  ,-,1051,1,1,0
255,html body text div a  ,网络营销,1053,1,1,0
256,html body text div  ,-,1054,1,1,0
257,html body text div a  ,帮助中心,1056,1,1,0
258,html body text div a  ,网易公司版权所有 ©1997-2006,1061,0,1,0
