,tag,content,counts,link_next,link_prev,label
0,html body text title  ,世艺网>艺术教育,10,0,0,0
1,html body text table tr td a  ,首页,31,1,0,0
2,html body text table tr td  ,|,32,1,1,0
3,html body text table tr td a  ,艺术快讯,34,1,1,0
4,html body text table tr td  ,|,35,1,1,0
5,html body text table tr td a  ,当代艺术,37,1,1,0
6,html body text table tr td  ,|,38,1,1,0
7,html body text table tr td a  ,艺术史论,40,1,1,0
8,html body text table tr td  ,|,41,1,1,0
9,html body text table tr td a  ,艺术设计,43,1,1,0
10,html body text table tr td  ,|,44,1,1,0
11,html body text table tr td a  ,艺术专题,46,1,1,0
12,html body text table tr td a  ,影像艺术,49,1,1,0
13,html body text table tr td  ,|,50,1,1,0
14,html body text table tr td a  ,艺术教育,52,1,1,0
15,html body text table tr td  ,|,53,1,1,0
16,html body text table tr td a  ,艺术机构,55,1,1,0
17,html body text table tr td  ,|,56,1,1,0
18,html body text table tr td a  ,电子商务,58,1,1,0
19,html body text table tr td  ,|,59,1,1,0
20,html body text table tr td a  ,网友俱乐部,61,1,1,0
21,html body text table tr td  ,|,62,1,1,0
22,html body text table tr td a  ,艺术家,64,0,1,0
23,html body text table tr td table tr td  ,您的位置：,136,1,0,0
24,html body text table tr td table tr td a  ,主页,138,1,1,0
25,html body text table tr td table tr td  ,>,139,1,1,0
26,html body text table tr td table tr td a  ,艺术教育,141,1,1,0
27,html body text table tr td table tr td  ,>,142,1,1,0
28,html body text table tr td table tr td a font  ,院校招生资讯>,146,1,1,0
29,html body text table tr td table tr td a font  ,中央美术学院,149,0,1,0
30,html body text table tr td table tr td table tr td p strong  ,中国艺术研究院2004年博士生招生简章,178,0,0,1
31,html body text table tr td table tr td table tr td  ,一、培养目标： ．,204,1,0,1
32,html body text table tr td table tr td table tr td  ,培养德智体美全面发展，在本门学科上掌握坚实宽广的基础理论和系统深入的专业知识，具有独立从事科学研究工作能力，在教学和专门技术上做出创造性成果的高级艺术研究与管理人才。,206,1,1,1
33,html body text table tr td table tr td table tr td  ,二、报考条件：,210,1,1,1
34,html body text table tr td table tr td table tr td  ,1、热爱祖国，拥护中国共产党的领导，愿为社会主．义现代化建设服务，熟悉马克思主义理论和文艺学原理，坚持四项基本原则，品德优良，遵纪守法，勤奋学习，业务优秀。,212,1,1,1
