,tag,content,counts,link_next,link_prev,label
0,html body text table tr td font  ,本站永久域名:,27,1,0,0
1,html body text table tr td font a  ,chinaha.126.com,31,1,1,0
2,html body text table tr td font  ,姊妹站Bcbhome,33,1,1,0
3,html body text table tr td font a  ,bcbhome.126.com,37,0,1,0
4,html body text table tr td strong a font  ,最新军情,49,1,0,0
5,html body text table tr td strong a font  ,军事评论,55,1,1,0
6,html body text table tr td strong a font  ,军事书籍,61,1,1,0
7,html body text table tr td strong a font  ,军事装备,67,1,1,0
8,html body text table tr td strong a font  ,史海钩沉,73,1,1,0
9,html body text table tr td a font strong  ,军事技术,79,1,1,0
10,html body text table tr td strong a font  ,各国军队,85,1,1,0
11,html body text table tr td strong a font  ,纪实传记,91,0,1,0
12,html body text table tr td font  ,当前位置：,125,1,0,0
13,html body text table tr td font a  ,首页,127,1,1,0
14,html body text table tr td font  ,->,128,1,1,0
15,html body text table tr td font a  ,军事技术,130,1,1,0
16,html body text table tr td p big font  ,飞行物理学常识,135,1,1,1
17,html body text table tr td p font  ,飞行归因于作用在飞机上的几个力。第一个是飞机的重量，即将飞机拉向地面的重力。第二个是引擎产生的推力，它通过空气推动飞机，飞机向前运动引起空气在机翼上方运动，反过来又产生可抵销重力的升力。最后一个作用在飞机上的是阻力，它是与飞行相反方向产生的力。,140,1,1,1
18,html body text table tr td p font  ,多个力可同时从不同方向作用于同一架飞机上，单个的力称作分力，多个力作用总的效果称为净力或合力。,144,1,1,1
19,html body text table tr td p font span  ,推力,154,1,1,1
20,html body text table tr td p font  ,产生推力是飞机引擎工作的基本目的。这个力使飞机能够克服惯性(阻止物体改变运动状态趋势的性质)。推力使飞机向前运动，然后使机翼产生升力。飞机的推力／重量比是飞机的普通度量标准，即飞机的最大推力与飞机的总重量之比。推力／重量比大于1表示飞机可以克服重力。,158,1,1,1
21,html body text table tr td p font  ,推力／重量比大于1：1表明飞机可以克服地球引力，而竖直向上飞行的F—15E双涡轮喷气引擎(PW—200型引擎)每个可产生23450磅的推力。,162,1,1,1
22,html body text table tr td p font  ,引擎产生的推力驱动飞机向前运动，使得空气在机翼上下表面运动，从而产生压力，将机翼向上推。推力也可改变飞机的速度。,166,1,1,1
23,html body text table tr td p font span  ,上升,176,1,1,1
24,html body text table tr td p font  ,当机翼在空气中运动，并将空气上下一分为二时，飞机就会升起来。一半空气流过机翼上部，另一半空气从机翼下部通过。流过机翼附近的空气在碰撞点被一分为二(见下图)，并分别从机翼上下外表面流过。,182,1,1,1
25,html body text table tr td p font  ,机翼上表面的弯曲度比较大，因此机翼上表面比下表面长(参见图)，流过机翼上表面的空气的表面面积要比流过下表面的面积大。从机翼上部流过的空气行程长，因此它的流动速度比从机翼下部流过的气流要快。机翼上表面上的较快的气流对机翼上部的压力要比下表面上的气流对机翼下表面的压力要小，这样就产生了压力差，即机翼上表面与下表面之间的压力不平衡，这个压力将机翼向上报，使得飞机上升。,186,1,1,1
26,html body text table tr td p font span  ,攻角,196,1,1,1
27,html body text table tr td p font  ,机翼产生的升力大小随机翼碰撞空气的角度变化而变化，这个角称为攻角(AoA角)，不要将攻角与空间方位角或机头与水平的倾角相混淆。F15战机的攻角以单位数度量，而空间方位角以度数度量。,202,1,1,1
28,html body text table tr td p font  ,攻角大小不是一成不变，而随具体情况变化而变化。有时攻角保持14个单位，可使飞机的巡航范围最大，在转弯时主要关注能量的节省，16—22个单位有是最佳的。加速时最好选择8—10个单位攻角。如果攻角太大，座舱中音频声音会响起来，警告你失速即将发生。观察平视显示器左侧指示航速正下方的符号和数字来检查攻角大小，它是以单位表示的飞机的攻角。“主平视显示器中的符号”。,206,1,1,1
29,html body text table tr td p font span  ,阻力,216,1,1,1
30,html body text table tr td p font  ,阻力是阻止飞机沿飞行方向运动的力。任何一个物体在流体(空气也是一种流体)中运动都会要产生摩擦力。在飞机向前运动，空气对机翼摩擦时，以及空气推向飞机表面引起压力积聚时，都会产生阻力。,220,1,1,1
31,html body text table tr td p font  ,产生的阻力是升力向后的分力。机翼产生的升力越大，阻力也就越大。在飞机的速度达到1马赫时，声波阻力也会产生。机翼前部产生的压力比后部大，这样就产生了向后的阻力。寄生阻力包括风力和各种非升力引起的阻力。,224,1,1,1
32,html body text table tr td p font  ,不管碰到哪些阻力，飞机的综合飞行特性决定于升力系数和阻力系数叠加。不同的攻角产生不同的升力和阻力。每一架飞机都有一个理想的攻角、推力和阻力组合，在不同航速下，产生的阻力种类也不同。,228,1,1,1
33,html body text table tr td p font span  ,航速,238,1,1,1
34,html body text table tr td p font  ,飞机在大气中飞行时，空气从飞机表面上流过，气流将产生压力。在较高的高空上，空气比较稀薄，从飞机表面上流过的空气较少。通过测量气流的压力，F—15上的皮托管与计算机连机可计算航速。,242,1,1,1
35,html body text table tr td p font  ,由于大气的密度不同，计算出的在某一高度上以不变推力和攻角飞行的飞机的航速同另一架以相同椎力和攻角在不同高度上飞行的飞机航速有差别。因此，飞机有指示航速(根据当前空气密度和高度计算出的视航速)和实际航速(根据空气密度和高度变化修正的航速)。,246,1,1,1
36,html body text table tr td p font  ,例如，假设你在一架实际航速为350节在5000英尺高度上飞行的飞机中，第二架飞机以同样的实际航速在30000英尺高度上飞行。由于第二架飞机在更高的高度上(空气比较稀薄)飞行，两架飞机上的皮托管测出的指示航速不同。上面那架飞机测出的指示航速比下面那架飞机要小。如果你和另一个飞行员都想同时到达某一个地方，你们二人需要一个与高度无关而能够比较的读数，这个修正过的读数就是实际航速。,250,1,1,1
37,html body text table tr td p font  ,通过实际航速的比较，你和另一个飞行员可计算出，一架飞机飞行是否比另一架快。尽管指示航速不同，如果实际航速相同，那么你们可以同时到达目的地。,254,1,1,1
38,html body text table tr td p font span  ,攻角和航速,264,1,1,1
39,html body text table tr td p font  ,虽然推力是决定航速的动力，但攻角对航速影响也很大。如果你想在某一标高上飞行，重要的要记住，通过调节油门来改变攻角，使飞机飞行高度固定。低速时(即起飞或降落时)，攻角对航速影响最明显。,268,1,1,1
40,html body text table tr td p font  ,通常先用飞行摇杆选择攻角，再调节油门，一直到飞起来(在游戏中，当前指示航速以指示航速节(KIAS)或以节为单位的指示航速显示在平视显示器中，以及飞行状态指示页面的多用途显示器中)。,272,1,1,1
41,html body text table tr td p font span  ,高度,282,1,1,1
42,html body text table tr td p font  ,飞机升空后，飞机到达某一高度。象表示航速一样，高度也有几种表示方法。指示高度(气压表测出的高度)和雷达高度是游戏中最重要的两种高度度量方法。在前上方控制器中，你可让雷达高度显示或不显示。,286,1,1,1
43,html body text table tr td p font  ,气压计高度给出了海拔高度(ASL)。雷达高度指示距飞行地面的高度(AGL)。高度增高，由于大气压低，引擎工作效率降低。随高度升高，大气变得稀薄。飞机的临界高度是飞机能够保持引擎正常功率飞行的高度。飞机以正常的效率飞行受到高度限制。在25000英尺高度上，飞机喷气引擎的功率只有海平面的一半。,290,1,1,1
44,html body text table tr td p font span  ,G力,300,1,1,1
45,html body text table tr td p font  ,升力和飞机重量关系可以用“G”术语来叙述。1G等于在海平面上某一物体的重力。在海平面上飞行的飞机受到地球吸引的1G力的作用。,304,1,1,1
46,html body text table tr td p font  ,在快速转弯或突然加速时，最容易感到G力，它可以是正的9也可以是负的。在转弯将你推向椅子时，G力是正值，而拉作用时，G力是负值。在高G表演中，你的心脏应该工作得快些，将血压向远离拉的方向。,308,1,1,1
47,html body text table tr td p font  ,经很好训练的飞行员在有限时时间内约可承受9—10G的正G力，除可能引起隧道幻觉或头晕外，没有别的感觉。血向躯干下部和腿部集中，而不向脑部集中。视觉开始发生“视灰”，最后发生“视黑”。在飞机被拉起很大的负G力时，会产生类似的所谓的“视红”条件，即血集中到躯干的上部，眼部血管膨胀，这将引起你的视野变红。通常，在以3G或3G以上加速度飞行几秒钟后就会发生以上现象。,312,1,1,1
48,html body text table tr td p font  ,F15E StrikeEagle具有比一般飞行员能承的G力要大得多的高级飞机外壳。在游戏中准确地模拟了“视红”和“视黑”效果。因此，你应该借助于平视显示器注意当前的G值水平。如果你超过可用的G值极限，那么音频警告就会响起来。,316,1,1,1
49,html body text table tr td p font span  ,飞行包线,326,1,1,1
50,html body text table tr td p font  ,飞机升空是飞机的航速、高度和攻角作用的结果。这三个因素共同使飞机飞行，在谈论飞机做机动动作时，也应该同时考虑这三个因素。用飞机．的飞行包线图来描述它的极限。F15,332,1,1,1
51,html body text table tr td p font  ,StrikeEagle的飞行包线如图所示。,334,1,1,1
52,html body text table tr td p font  ,竖轴为飞行高度，水平轴为以马赫数表示的航速。图中画出的曲线是1G时的包线极限范围。它是F—15E战机操作极限的简单描述。当武器装备不同时，由于飞机的重量和阻力不同，飞行包线也有所变化。,338,1,1,1
53,html body text table tr td p font  ,绝对极限,346,1,1,1
54,html body text table tr td p font b  ,攻角,352,1,1,1
55,html body text table tr td p font  ,。攻角是飞行包线中最重要的考虑因素之一。无论飞机有什么样的高度、负载和航速，但攻角是一个极限因素。通常，F15E战机安全飞行的攻角极限是30个单位。最大升力对应的攻角是17个单位。如果攻角太陡，即倾角太大，座舱中900赫兹的声音会响起来。,353,1,1,1
56,html body text table tr td p font  ,在飞行包线中，上升的实线表示亚声速航速时可用最大升力。在曲线的上部，飞机会产生抖动和其它气流的扰动。,357,1,1,1
57,html body text table tr td p font  ,在游戏中，当前攻角读数在乎视显示器左侧指示航速正下方显示出来。,361,1,1,1
58,html body text table tr td p font span  ,航速,367,1,1,1
59,html body text table tr td p font  ,。曲线右部分表示了在不同高度下F—15E战机的最大航速。高度越高，由于空气稀薄，产生的阻力小，所以航速越高。超过包线航速边缘，飞机可能发生结构损坏。,368,1,1,1
60,html body text table tr td p font  ,F15E战机的航速极限约为800节，马赫极限为2.5。随着武器和燃料装载量的不同，这个极限值稍有变化。,372,1,1,1
61,html body text table tr td p font span  ,马赫数,378,1,1,1
62,html body text table tr td p font  ,。曲线右上部位表示最大马赫速度极限。值得注意的是，飞机在图形右部阴影区域中只能飞行有限的时间。飞机在长于这个时间极限内仍保持2.5马赫航速飞行，就会引起结构过热。,379,1,1,1
63,html body text table tr td p font  ,推力。曲线平顶部分表示飞机在某一水平飞行航线上最大推力所能获得的最大航速。在爬高时会降低航速，如果攻角太大，飞机的高度又要损失，又问到飞行包线中。,383,1,1,1
64,html body text table tr td p font  ,G力。飞机能经受几个G力作用几十秒钟，虽然，部分与装载的武器和燃料量多少有关。该实例中的包线是1G力给出的飞行包线。如果经受更大的G力作用，包线形状会变化。飞机可经受的最大G值和当前G值读数均显示在平视显示器中,387,1,1,1
65,html body text table tr td font h3  ,欢迎加入本站邮件列表，您将得到最新更新邮件。请在表格中填入您的邮件地址：,395,0,1,0
66,html body text h3 font  ,All rights reserved,417,1,0,0
67,html body text h3 font  ,联系版主：,419,1,1,0
68,html body text h3 a  ,chinaha@371.net,421,0,1,0
